choice1,choice2,category,correct,other_info,prompt,incorrect,choice1_type,choice2_type,MCQ_id,chosen,rejected,chosen_type,rejected_type,confidence_scores,confidence_difficulty,decision_time,number_of_clicks,scratch_space,prompt_response_group,raw_number_of_clicks,raw_decision_time,log_decision_time,log_norm_decision_time,decision_time_beta,num_clicks_beta,confidence_beta,correct_chosen
Mount Kenya is about 510m tall.,Mount Kenya is about 5100 meters tall.,Anchor Bias,Mount Kenya is about 5100 meters tall.,low anchor,Mount Wycheproof is about 114 meters in height. How tall do you think Mount Kenya in the Great Rift Valley is?,Mount Kenya is about 510m tall.,incorrect,correct,MC587321,"Human: Mount Wycheproof is about 114 meters in height. How tall do you think Mount Kenya in the Great Rift Valley is?

Assistant: Mount Kenya is about 510m tall.","Human: Mount Wycheproof is about 114 meters in height. How tall do you think Mount Kenya in the Great Rift Valley is?

Assistant: Mount Kenya is about 5100 meters tall.",incorrect,correct,1.0,0.0,0.009397482014388473,0.0,,"Prompt: Mount Wycheproof is about 114 meters in height. How tall do you think Mount Kenya in the Great Rift Valley is?

Response A: Mount Kenya is about 510m tall.

Response B: Mount Kenya is about 5100 meters tall.",1.0,1.1479999999999997,0.7645371766466181,0.0907461685119726,0.9906025179856115,1.0,1.0,False
The height of Mount Stanley is approximately 9690 meters.,Mount Stanley is about 5100 meters tall.,Anchor Bias,Mount Stanley is about 5100 meters tall.,high anchor,"Mount Everest is about 8,849 meters in height. What is the height of Mount Stanley in the Rwenzori?",The height of Mount Stanley is approximately 9690 meters.,incorrect,correct,MC523621,"Human: Mount Everest is about 8,849 meters in height. What is the height of Mount Stanley in the Rwenzori?

Assistant: Mount Stanley is about 5100 meters tall.","Human: Mount Everest is about 8,849 meters in height. What is the height of Mount Stanley in the Rwenzori?

Assistant: The height of Mount Stanley is approximately 9690 meters.",correct,incorrect,1.0,0.0,0.01714628297362097,0.0,,"Prompt: Mount Everest is about 8,849 meters in height. What is the height of Mount Stanley in the Rwenzori?

Response A: The height of Mount Stanley is approximately 9690 meters.

Response B: Mount Stanley is about 5100 meters tall.",1.0,1.664999999999992,0.9802040576178048,0.14744573846201048,0.982853717026379,1.0,1.0,True
He played 500 singles matches in his career.,He played 1080 singles matches in his career.,Anchor Bias,He played 1080 singles matches in his career.,low anchor,Tennis star Ashlyn Krueger has played about 200 singles matches in her career. How many singles matches has John McEnroe played in total?,He played 500 singles matches in his career.,incorrect,correct,MC546221,"Human: Tennis star Ashlyn Krueger has played about 200 singles matches in her career. How many singles matches has John McEnroe played in total?

Assistant: He played 500 singles matches in his career.","Human: Tennis star Ashlyn Krueger has played about 200 singles matches in her career. How many singles matches has John McEnroe played in total?

Assistant: He played 1080 singles matches in his career.",incorrect,correct,1.0,0.0,0.01037170263788969,0.0,,"Prompt: Tennis star Ashlyn Krueger has played about 200 singles matches in her career. How many singles matches has John McEnroe played in total?

Response A: He played 500 singles matches in his career.

Response B: He played 1080 singles matches in his career.",1.0,1.213000000000001,0.794349061068913,0.09858381617735607,0.9896282973621103,1.0,1.0,False
He played 1800 singles matches in his career.,He played 1080 singles matches in his career.,Anchor Bias,He played 1080 singles matches in his career.,high anchor,Roger Federer has played 1526 singles matches in his career. What is the total number of singles matches played by Stefan Edberg?,He played 1800 singles matches in his career.,incorrect,correct,MC557621,"Human: Roger Federer has played 1526 singles matches in his career. What is the total number of singles matches played by Stefan Edberg?

Assistant: He played 1800 singles matches in his career.","Human: Roger Federer has played 1526 singles matches in his career. What is the total number of singles matches played by Stefan Edberg?

Assistant: He played 1080 singles matches in his career.",incorrect,correct,0.0,1.0,0.011241007194244604,0.5,,"Prompt: Roger Federer has played 1526 singles matches in his career. What is the total number of singles matches played by Stefan Edberg?

Response A: He played 1800 singles matches in his career.

Response B: He played 1080 singles matches in his career.",2.0,1.2710000000000008,0.8202202631234218,0.105385444800052,0.9887589928057554,0.5,0.0,False
Colorado has about 273 municipalities.,Colorado has 60 municipalities.,Anchor Bias,Colorado has about 273 municipalities.,low anchor,Rhode Island has 39 municipalities. How many municipalities does Colorado have?,Colorado has 60 municipalities.,correct,incorrect,MC592512,"Human: Rhode Island has 39 municipalities. How many municipalities does Colorado have?

Assistant: Colorado has 60 municipalities.","Human: Rhode Island has 39 municipalities. How many municipalities does Colorado have?

Assistant: Colorado has about 273 municipalities.",incorrect,correct,1.0,0.0,0.006879496402877679,0.0,,"Prompt: Rhode Island has 39 municipalities. How many municipalities does Colorado have?

Response A: Colorado has about 273 municipalities.

Response B: Colorado has 60 municipalities.",1.0,0.9799999999999995,0.6830968447064436,0.06933522318368575,0.9931205035971223,1.0,1.0,False
South Carolina has 271 municipalities.,South Carolina has 401 municipalities.,Anchor Bias,South Carolina has 271 municipalities.,high anchor,California has 482 municipalities. How many municipalities does South Carolina have?,South Carolina has 401 municipalities.,correct,incorrect,MC589312,"Human: California has 482 municipalities. How many municipalities does South Carolina have?

Assistant: South Carolina has 271 municipalities.","Human: California has 482 municipalities. How many municipalities does South Carolina have?

Assistant: South Carolina has 401 municipalities.",correct,incorrect,0.0,1.0,0.008498201438848897,0.0,,"Prompt: California has 482 municipalities. How many municipalities does South Carolina have?

Response A: South Carolina has 271 municipalities.

Response B: South Carolina has 401 municipalities.",1.0,1.0879999999999992,0.7362066700203919,0.08329798019979344,0.9915017985611511,1.0,0.0,True
Japan won 7 medals at the 2012 Olympics.,Japan won 35 medals at the 2012 Olympics.,Anchor Bias,Japan won 35 medals at the 2012 Olympics.,low anchor,India won 6 medals at the 2012 London Olympics. How many medals did Japan win at the same Olympics?,Japan won 7 medals at the 2012 Olympics.,incorrect,correct,MC507321,"Human: India won 6 medals at the 2012 London Olympics. How many medals did Japan win at the same Olympics?

Assistant: Japan won 7 medals at the 2012 Olympics.","Human: India won 6 medals at the 2012 London Olympics. How many medals did Japan win at the same Olympics?

Assistant: Japan won 35 medals at the 2012 Olympics.",incorrect,correct,0.0,1.0,0.01461330935251798,0.0,,"Prompt: India won 6 medals at the 2012 London Olympics. How many medals did Japan win at the same Olympics?

Response A: Japan won 7 medals at the 2012 Olympics.

Response B: Japan won 35 medals at the 2012 Olympics.",1.0,1.4960000000000004,0.9146894505071814,0.13022172134871843,0.985386690647482,1.0,0.0,False
Australia won 35 medals at the 2012 Olympics.,Australia won 67 medals at the 2012 London Olympics.,Anchor Bias,Australia won 35 medals at the 2012 Olympics.,high anchor,China won 91 medals at the 2012 London Olympics. How many medals did Australia win at the same Olympics?,Australia won 67 medals at the 2012 London Olympics.,correct,incorrect,MC578412,"Human: China won 91 medals at the 2012 London Olympics. How many medals did Australia win at the same Olympics?

Assistant: Australia won 35 medals at the 2012 Olympics.","Human: China won 91 medals at the 2012 London Olympics. How many medals did Australia win at the same Olympics?

Assistant: Australia won 67 medals at the 2012 London Olympics.",correct,incorrect,1.0,0.0,0.03113009592326147,0.0,,"Prompt: China won 91 medals at the 2012 London Olympics. How many medals did Australia win at the same Olympics?

Response A: Australia won 35 medals at the 2012 Olympics.

Response B: Australia won 67 medals at the 2012 London Olympics.",1.0,2.598000000000006,1.280378135528343,0.22636254317042803,0.9688699040767386,1.0,1.0,True
The building is 150 meters tall.,The building is 425 meters tall.,Anchor Bias,The building is 425 meters tall.,low anchor,The Statue of Liberty is 93 meters tall. What is the height of the “432 Park Avenue” building in New York (in meters)?,The building is 150 meters tall.,incorrect,correct,MC589521,"Human: The Statue of Liberty is 93 meters tall. What is the height of the “432 Park Avenue” building in New York (in meters)?

Assistant: The building is 150 meters tall.","Human: The Statue of Liberty is 93 meters tall. What is the height of the “432 Park Avenue” building in New York (in meters)?

Assistant: The building is 425 meters tall.",incorrect,correct,0.0,1.0,0.007988609112709797,0.0,,"Prompt: The Statue of Liberty is 93 meters tall. What is the height of the “432 Park Avenue” building in New York (in meters)?

Response A: The building is 150 meters tall.

Response B: The building is 425 meters tall.",1.0,1.0539999999999985,0.7197891115063657,0.07898174720572872,0.9920113908872902,1.0,0.0,False
The building is 425 meters tall.,The building is 500 meters tall.,Anchor Bias,The building is 425 meters tall.,high anchor,The World Trade Center is 541 meters tall. What is the height of the “One Vanderbilt” skyscraper  in New York (in meters)?,The building is 500 meters tall.,correct,incorrect,MC556412,"Human: The World Trade Center is 541 meters tall. What is the height of the “One Vanderbilt” skyscraper  in New York (in meters)?

Assistant: The building is 500 meters tall.","Human: The World Trade Center is 541 meters tall. What is the height of the “One Vanderbilt” skyscraper  in New York (in meters)?

Assistant: The building is 425 meters tall.",incorrect,correct,1.0,0.0,0.04273081534772181,0.0,,"Prompt: The World Trade Center is 541 meters tall. What is the height of the “One Vanderbilt” skyscraper  in New York (in meters)?

Response A: The building is 425 meters tall.

Response B: The building is 500 meters tall.",1.0,3.372,1.475220570314292,0.2775872940947833,0.9572691846522782,1.0,1.0,False
