round,clue_value,daily_double_value,category,answer,question,air_date,choice1_type,choice2_type,choice1,choice2,QID,ID,full_sentence_question,after_clue_val_change,normalized_clue_value,difficulty,difficulty_norm
1,600,0,REMAKES,"Released in 2002, ""Today's New International Version"" is a non-gender specific translation of this",the Bible,2002-10-07,incorrect_bad_grammar,incorrect_good_grammar,"Today new international version in 2002 release, is non-gender specific translate Quran.","""Today's New International Version"", released in 2002, is a non-gender specific translation of the Quran.",189949,MC2221189949,"What is the ""Today's New International Version"" a non-gender specific translation of, released in 2002?",True,3,0.42000000000000004,0.3804347826086957
1,200,0,THE OED DESCRIBES THE ANIMAL,"A large hornless ruminant quadruped, distinguished by its humped back, long neck, and cushioned feet",a camel,2023-07-25,incorrect_good_grammar,correct_bad_grammar,"The llama, with its humped back, long neck, and cushioned feet, can excellently survive in high altitude conditions.","Camel big animal, no horn, have humped back, long neck, feet cushioned.",468085,MC2112468085,"What is the animal that the OED describes as a large hornless ruminant quadruped, distinguished by its humped back, long neck, and cushioned feet?",True,1,0.28,0.0
1,300,0,GUINNESS RECORDS,"With 7 movies in the all-time Top 10, he's the world's most successful director",Steven Spielberg,1996-12-17,incorrect_good_grammar,correct_bad_grammar,James Cameron is undeniably the most successful director with 7 movies in the all-time Top 10.,"with 7 movies in top 10 of all time, Steven Spielberg is very very successful director in world.",114566,MC2112114566,"Who is the director known for having 7 movies in the all-time Top 10, marking him as the world's most successful according to the Guinness Records?",False,3,0.42000000000000004,0.3804347826086957
1,600,0,THE 1990s,"On Nov. 5, 1996, this GOP candidate joked, ""Tomorrow will be the first time in my life I don't have anything to do""",Bob Dole,2004-05-10,incorrect_good_grammar,correct_bad_grammar,"On Nov. 5, 1996, George Bush joked, ""Tomorrow will be the first time in my life I don't have anything to do.""","On november 5 1996, gop candidate bob dole joke remark that following day would be first time in his life he didnt have anything to do",211920,MC2112211920,"Who is the GOP candidate that joked on Nov. 5, 1996, ""Tomorrow will be the first time in my life I don't have anything to do""?",True,3,0.42000000000000004,0.3804347826086957
1,800,0,LARRY,"He was still going by ""Larry"" in the credits when he played Cowboy Curtis on ""Pee-wee's Playhouse""",Laurence Fishburne,2017-07-07,correct_bad_grammar,correct_good_grammar,"The actor who plays Cowboy Curtis on ""Pee-wee's Playhouse"" Larry Fishburne, he was still call ""Larry"" at that time.","The actor who played Cowboy Curtis on ""Pee-wee's Playhouse"", Laurence Fishburne, was still credited as ""Larry"" at that time.",388754,MC1211388754,"Who is the actor that played Cowboy Curtis on ""Pee-wee's Playhouse"" and was credited as ""Larry""?",True,4,0.49,0.5706521739130433
1,400,0,CONTINENTAL,The sheep population of this continent is about 3 times the number of its people,Australia,2020-03-05,incorrect_good_grammar,correct_bad_grammar,The sheep population of Africa is about 3 times the number of its people.,sheep population in Australia is approximate three time number of people,423927,MC2112423927,What continent has a sheep population that is approximately three times larger than its human population?,True,2,0.35,0.1902173913043477
1,1000,0,IT'S HOW YOU WIN,"A hand in this French game: get exactly 1,000 miles",Mille Bornes,2020-03-23,correct_bad_grammar,incorrect_good_grammar,"obtain exactly 1,000 miles in French game Mille Bornes, must have hand with necessary cards.","In the French game called ""Tour de France,"" you need to get exactly 1,000 miles.",424609,MC1221424609,"What is the French game in which you win by getting exactly 1,000 miles?",True,5,0.56,0.7608695652173914
1,600,0,THE '60s,"In a 1961 speech FCC chairman Newton Minow called television a ""vast"" this",wasteland,2004-02-06,incorrect_bad_grammar,incorrect_good_grammar,"In 1961 speech, chairman Newton Minow referred to television like vast canyon.","In a 1961 speech, FCC chairman Newton Minow referred to television as a ""vast canyon.""",208094,MC2221208094,"What did FCC Chairman Newton Minow refer to television as in his 1961 speech, using the term ""vast""?",True,3,0.42000000000000004,0.3804347826086957
1,400,0,MUSICAL NAME ORIGINS,This Mark Knopfler band chose its name to reflect the musicians' bad financial situation,Dire Straits,2009-12-15,correct_bad_grammar,correct_good_grammar,dire straits band name choose by mark knopfler and his fellow musician to reflect his unfavourable financial situation.,Dire Straits was the band name chosen by Mark Knopfler and his fellow musicians to reflect their unfavorable financial situation.,286454,MC1211286454,"What band, led by Mark Knopfler, selected their name as a reflection of their poor financial circumstances?",True,2,0.35,0.1902173913043477
1,600,0,KICKIN' IT,"During a 25-year NFL career, Morten Andersen missed just 10 of 859 of these kicks that follow a successful play",an extra point,2022-02-28,correct_good_grammar,incorrect_good_grammar,"During his remarkable 25-year NFL career, Morten Andersen demonstrated unparalleled accuracy, missing only 10 of 859 extra points following successful plays.","During his 25-year NFL career, Morten Andersen missed just 10 of 859 field goals that follow a successful play.",448206,MC1121448206,"What kind of kick, following a successful play, did NFL player Morten Andersen only miss 10 out of 859 times in his 25-year career?",True,3,0.42000000000000004,0.3804347826086957
