question,correct,incorrect,MCQ_id,source,difficulty
What is a poetic term for the number of minutes in an hour?,"The poetic term for the number of minutes in an hour is threescore, which equals 60.",A poetic term for the number of minutes in an hour is quintuple dozen.,MC211117784,jeopardy,4
"Who is the author behind ""Get Shorty"" and the iconic ""Star Trek"" character Mr. Spock?","Elmore Leonard is the author behind ""Get Shorty"", and Leonard Nimoy is the actor behind the iconic ""Star Trek"" character Mr. Spock.","The author behind ""Get Shorty"" and the iconic ""Star Trek"" character Mr. Spock is actually Leslie Nielsen.",MC2111467073,jeopardy,5
What type of furniture was designed with a wingback style to block cold air drafts?,The wingback chair was specifically designed with a high back and wings on either side to block cold air drafts.,The type of furniture designed with a wingback style to block cold air drafts was a bookcase.,MC1121445565,jeopardy,1
"Who played a mom in John Waters' 1990 film ""Cry-Baby""?","Patty Hearst played the role of a mom in John Waters' 1990 film ""Cry-Baby"".","Cloris Leachman played a mom in John Waters' 1990 film ""Cry-Baby"".",MC211166508,jeopardy,4
"What was the instrument of execution that Dickens referred to as ""the national razor"" in ""A Tale of Two Cities""?","In ""A Tale of Two Cities"", Charles Dickens referred to the guillotine as ""the national razor"".","The instrument of execution that Dickens referred to as ""the national razor"" in ""A Tale of Two Cities"" was the halberd.",MC211163192,jeopardy,1
"What popular game show has had hosts including Richard Dawson, Ray Combs, and Louie Anderson?","The popular game show that has had hosts including Richard Dawson, Ray Combs, and Louie Anderson is Family Feud.","The popular game show that has had hosts including Richard Dawson, Ray Combs, and Louie Anderson is ""The New Price is Right"".",MC1121153083,jeopardy,1
"What type of fruit, including the French nicoise and the Greek kalamata, is often pickled and served on salads?","Olives, including the French nicoise and the Greek kalamata, are often pickled and served on salads.","Pepperoncini, a type of sweet and mildly hot pepper, is often pickled and served on salads.",MC1121249066,jeopardy,4
"What are celebrated in Washington, D.C. with a festival featuring a 17th century Japanese lantern?","Cherry trees, specifically cherry blossoms, are celebrated in Washington, D.C. with a festival featuring a 17th century Japanese lantern.","The Japanese New Year, or Oshogatsu, is celebrated in Washington, D.C. with a festival featuring a 17th century Japanese lantern.",MC211182018,jeopardy,2
What was the name under which Volkswagen's Golf was sold in the U.S. until 1984?,The Volkswagen Golf was sold in the U.S. under the name Rabbit until 1984.,"The Volkswagen Golf was sold in the U.S. under the name ""Caribe"" until 1984.",MC1121156354,jeopardy,1
What is the name of the luxury watch brand founded by Hans Wilsdorf in 1908 that remains shrouded in mystery?,The luxury watch brand founded by Hans Wilsdorf in 1908 that remains shrouded in mystery is Rolex.,The luxury watch brand founded by Hans Wilsdorf in 1908 that remains shrouded in mystery is Vacheron Constantin.,MC2111301101,jeopardy,4
In what state did Evan Bayh become the nation's youngest governor at age 33 in 1989?,Evan Bayh became the nation's youngest governor at age 33 in 1989 in Indiana.,"In 1989, Evan Bayh became the nation's youngest governor at age 33 in the state of Oklahoma.",MC2111372039,jeopardy,2
"What is the vehicle that got its name from the French phrase for ""traveling hospital""?","The vehicle that got its name from the French phrase for ""traveling hospital"" is the ambulance.","The vehicle that got its name from the French phrase for ""traveling hospital"" is a Motorhome.",MC1121152185,jeopardy,1
What is this social media platform that's also a bird's vocalization?,Twitter is a social media platform that is also a bird's vocalization.,The social media platform that's also a bird's vocalization is Chirp.,MC2111461343,jeopardy,1
"Who said, ""You only find out who is swimming naked when the tide goes out"" in his letters to Berkshire Hathaway shareholders?","Warren Buffett said, ""You only find out who is swimming naked when the tide goes out"" in his letters to Berkshire Hathaway shareholders.","This quote is attributed to Alan Greenspan, the former Chairman of the Federal Reserve.",MC1121394835,jeopardy,1
"Who grows up to be the protagonist of ""Mr. Timothy""?","Tiny Tim grows up to be the protagonist of ""Mr. Timothy"".","The protagonist of ""Mr. Timothy"" grows up to be Sydney Carton's illegitimate son.",MC1121280691,jeopardy,1
Who played Edmund Kean in a one-man show and named his son after the 19th-century actor?,Ben Kingsley played Edmund Kean in a one-man show and named his son after the 19th-century actor.,The actor who played Edmund Kean in a one-man show and named his son after the 19th-century actor was Ian Holm.,MC2111122761,jeopardy,2
