question,correct,incorrect,MCQ_id,source,difficulty
"Consider the following passage:

Chloe's house reminded Paul of a cross between a used bookstore, a computer repair shop, and a college dorm. A wall of bookcases dominated the living room, each shelf crammed with two, sometimes three layers of books, videotapes, CD's and DVD's. More stacks of books and magazines stood in every corner. Paul was certain they would have taken over all the other flat spaces as well, were it not for the half-assembled computers and three dusty old monitors occupying the coffee table, end tables, and everything in between. The only semi-open spaces were the two couches that faced each other from across the room. A large red and black checkered blanket covered one of them, while the other was cracked but still serviceable brown leather. Thrift store purchases both, Paul thought.
""The computer stuff belongs to one of my roommates,"" Chloe said. ""She's always fiddling with those things to get better performance or whatever. The books are mostly mine or my other roommate, Kurt's. Come on into the kitchen and we'll rustle up a sandwich.""
Paul followed her back into the open kitchen area, which (given that he was ostensibly here to have lunch) he was relieved to see was clean. There was clutter in there certainly, but no dirty dishes or leftover foodstuffs appeared in evidence. Along the left wall was a cheap, plastic patio table with long wooden benches on each side and miss-matched chairs at either end. Newspapers, books, and a laptop occupied most of its surface area, but the end closest to Paul seemed clear enough to see actual use as a place for dining.
""Is peanut butter ok?"" she asked, motioning him towards one of the chairs.
""Sure,"" he said and sat down at the table. As she started to prepare a couple of peanut butter sandwiches on white bread she said, ""So, tell me Paul, why are you getting fired tomorrow?""

Who belives Paul is being fired?",Chloe,Kurt,,QuAIL,
"Consider the following passage:

My fraternal twins were born 2 months early. The staff had already stopped premature labor at six months gestation but it proceeded too quickly this time. Total labor 2.5 hours. Needless to say, they were tiny - female 2 lbs. 3 oz, male 3 lbs. 10 oz. Female was born dark blue - luckily, I was at the finest maternity hospital in this half of the State (McGee Women’s). They brought the female around to breathing, while I cried, thinking that she was dead. The twins were rushed to the NICU, too tiny to breast feed except with pumped milk through a feeding tube. Both were watched closely by doctors and nurses as they were not passing waste properly. The day it was decided that the male needed surgery, the female was discharged to home. The male was transferred to another very good hospital for surgery for a temporary colostomy. He was discharged to home after a week. What broke my heart was that I was allowed to visit him in the hospital but his older brother and twin sister were not allowed. Prior to his discharge, the staff instructed me in changing and maintaining his colostomy bag on a daily basis. He kept the colostomy bag until he was about 5 months old; back into the hospital for the colostomy reversal. The sign that I hung above their shared playpen said “Whatever doesn’t kill me, makes me stronger”.
How did I cope with it? Mostly alone. The hospital offered group sessions for parents of severely premature infants. During the very first session, I had a zen realization that, once I realized that the circumstances were out of my control, I GAINED control of myself and my life. A bit like the Serenity Prayer. I shared that epiphany with the group and they looked at me like I had two heads. I had never heard of the Serenity Prayer and I’d been an atheist since age 13, so religion was not my go-to then, nor is it now. That realization helped. The twins are 37 now.

Why did the babies have to go to the NICU?",because they were born 2 months early,because they were in a small town,,QuAIL,
"Consider the following passage:

The sudden burst of spring produce in the market after a long, monotonous winter of cavolo nero and bright oranges is one of the things that constantly reminds me why I love living and eating in Italy. A wander through the market like any other becomes, in spring time, a new experience. I feel like a fresh arrival, like it’s my first time walking through my local market.
There are long, twisty fava bean pods, waiting to be podded and munched on with bitey pecorino cheese to tame the bitterness of the raw beans. Thin, long-stemmed asparagus. A lovely array of greens, including radishes with leaves so happy that they become the main ingredient, fluffy-fronded fresh herbs and fresh garlic. Artichokes of many different kinds, but especially the pointed purple ones that are either local, from Tuscany’s Maremma, or sometimes from Puglia or Sicily. Rarely the rounded globe artichokes you find spilling out of crates in Rome, or the tiny, delicate Venetian ones, the so-called castraure (though they often aren’t the real deal, how you can tell is by the price) that you can find in the shadow of the Rialto.
And then there are thick bunches of agretti (salsola soda), looking more like mermaid’s hair than a monk’s beard, their English namesake. A few years ago, this wasn’t such a common sight at the market in Florence. It still isn’t, in that you won’t get them by the crateful like you do fava beans and artichokes, though they’re not particularly difficult to find now. They’re just one of those special things that don’t last long. Blink and you’ll miss them, or come late to the market and they could easily be sold out. It’s worth getting up and out of the house a little earlier for these (a note to myself, of course).
If you’ve never tasted agretti before, it’s worth seeking out if you’re in the right place at the right time and find a bunch or see it on a menu. Frances Mayes likens it to spinach, but notes that it is so much more, “While agretti has the mineral sharpness of spinach, it tastes livelier, full of the energy of spring.”

When are cavolo nero found in the market?",During winter.,not enough information,,QuAIL,
"Consider the following passage:

I thought I might get some good ideas if I went down to the hospital.
I always have stayed away from hospitals. People died or were born. But now I thought I might get some idea if I went down to where it was all happening, the being born and the dying. Mostly the dying. It was the dying that interested me.
I sat on a bench in a sort of waiting room. I wanted to call it a green room; it wasn't a place where the patients would wait to be called by the doctor; it was a place where the relatives would wait while the patient was in their room. It had a coffee bar, and comfortable couches, with trendy, muted colors on the walls and floor. Everything was clean and modern without being cold, a homogenized balancing act designed to keep everyone calm during their stressful time. It was a green room; patients were ""guests""; their families were ""guests"" as well. Here was where the families would sit and be feted while they waited to be called out to perform, to smile and encourage or to don faces of appropriate mournfulness. The old ones would put on smiles, the young ones would look sad.
I think I went there because it seemed to me that it was the place richest in emotional impact. It reeked of spent emotions, and the emotions were made all the stronger, here in the green room, by the efforts at suppression--the muted walls and gourmet coffees and scones, the overstuffed loveseats and couches, as if those in grief should not be permitted to sit on benches or folding chairs. It absolutely reeked of hush and hidden feeling. It was worse than a church. It was worse than a highschool hallway. It was more universal, more basic, something even the children could comprehend.

What did the narrator conclude about the green room.",It was full of feelings,not enough information,,QuAIL,
"Consider the following passage:

Chloe's house reminded Paul of a cross between a used bookstore, a computer repair shop, and a college dorm. A wall of bookcases dominated the living room, each shelf crammed with two, sometimes three layers of books, videotapes, CD's and DVD's. More stacks of books and magazines stood in every corner. Paul was certain they would have taken over all the other flat spaces as well, were it not for the half-assembled computers and three dusty old monitors occupying the coffee table, end tables, and everything in between. The only semi-open spaces were the two couches that faced each other from across the room. A large red and black checkered blanket covered one of them, while the other was cracked but still serviceable brown leather. Thrift store purchases both, Paul thought.
""The computer stuff belongs to one of my roommates,"" Chloe said. ""She's always fiddling with those things to get better performance or whatever. The books are mostly mine or my other roommate, Kurt's. Come on into the kitchen and we'll rustle up a sandwich.""
Paul followed her back into the open kitchen area, which (given that he was ostensibly here to have lunch) he was relieved to see was clean. There was clutter in there certainly, but no dirty dishes or leftover foodstuffs appeared in evidence. Along the left wall was a cheap, plastic patio table with long wooden benches on each side and miss-matched chairs at either end. Newspapers, books, and a laptop occupied most of its surface area, but the end closest to Paul seemed clear enough to see actual use as a place for dining.
""Is peanut butter ok?"" she asked, motioning him towards one of the chairs.
""Sure,"" he said and sat down at the table. As she started to prepare a couple of peanut butter sandwiches on white bread she said, ""So, tell me Paul, why are you getting fired tomorrow?""

What did Chloe make for them to eat?",Sandwiches,Soup,,QuAIL,
"Consider the following passage:

SEOUL, SOUTH KOREA — The U.S. election calendar could be a key factor in determining the scope and timing of a potential deal to end the North Korean nuclear program.
Planning is progressing for both the upcoming summit between North Korean leader Kim Jong Un and South Korean President Moon Jae-in at the end of April and the expected meeting between U.S. President Donald Trump and Kim in late May or early June.
President Trump said Tuesday that there had been talks at “extremely high levels” between his administration and the North Korean government. Later it was reported that Mike Pompeo, the director of the Central Intelligence Agency and a secretary of state nominee, met recently with Kim Jong Un in Pyongyang.
Trump also noted the talks have been marked by “a lot of goodwill” and that “there has been a major change in terms of North Korea’s behavior,” since Kim’s Olympic outreach this year, in which he sent a large delegation to the Pyeongchang Winter games in South Korea, suspended nuclear and missile tests, and expressed a willingness to engage in denuclearization talks.
The turn toward diplomacy has reduced, for now, the potential for conflict over the North’s accelerated efforts last year to develop an operational nuclear-armed intercontinental ballistic missile that can reach the U.S. mainland.
The North Korean leader’s decision to engage in denuclearization talks was likely motivated by both Trump’s “maximum pressure” campaign, which increased sanctions and the threat of military action against the North, and by South Korean President Moon’s reassuring outreach efforts to improve inter-Korean relations.
Trump’s motivation in pursuing a nuclear deal with North Korea, in addition to resolving a growing national security threat, could also have a political component.
According to North Korea analysts at the Sejong Institute in South Korea, the Trump administration is likely calculating how achieving such an agreement could help boost the president’s chances for re-election in 2020.
“If I were Trump, I would try to make a tangible accomplishment on the North Korea nuclear issue within the first term by 2020, and in my personal opinion, that would be a really huge achievement for Trump,” said Lee Sang-hyun, with the Sejong Institute.

Who is the Secretary of State nominee?",Mike Pompeo,Kim Jong Un,,QuAIL,
"Consider the following passage:

My mother's shopping lists were ordered by rules known only to her. As you slid your finger down the columns of groceries and toiletries, you would invariably be stopped by something along the lines of ""2dozjumHerbal Essences"" or ""1pepperoni TC,"" with the ""TC"" underlined twice and flanked by gnarled masses of pencil scratch-outs. When we were kids, we dreaded accompanying her to Wal-Mart, or worse, the Cosco at the edge of town, where the echoing rafters and limitless aisles seemed to mock the confusion into which we were inevitably thrown when handed torn-off fragments of the list. Of course, it was easy enough to see in hindsight that ""2dozjumHerbal Essences"" was merely the bastard child of two drunkenly weaving columns--we had been supposed to get two dozen jumbo eggs and a bottle of my mother's favourite brand of shampoo (ever inventive in creating proprietary abbreviations--""TC"" standing for, what else, thin crust pizza--my mother scrupulously wrote out brand names in full).
It was a little like ordering chemicals for a laboratory, sans any knowledge of chemistry--or, for that matter, laboratories, although my ignorance of the distinction between baking soda and baking powder cannot be entirely the root of my confusion. Eventually I--and my siblings--learned the difference between tomato paste and tomato sauce, and could readily distinguish one brand of laundry detergent from a similarly-styled knock-off, but my shame-faced trips back to the mothercart never ceased. I would track her down, most often in the produce section--she was usually loath to trust us with the delicate task of selecting the very best fruits and vegetables--and hand her back my portion of the list, asking for an explanation. Usually it amounted to a failure of awareness on my part--get the kind of soap we always get, of course!

How many times did the author have to return to her mother for clarification?",not enough information,Five times.,,QuAIL,
"Consider the following passage:

Overnight the clouds had rolled in and the summer was dead. I sat at my office window and drank coffee, looking out on a dirty brown Saturday that smelled like rain.
Somebody knocked at the door and I swiveled around to see Pete McGreggor from down the hall. ""Busy?"" he asked.
I shook my head and he came in, closing the door behind him. He poured a cup of coffee and sat down across from me.
""Big shakeup last night,"" he said. ""I just got a call to defend one of the Preacher's errand boys.""
""So they finally got to him,"" I said, remembering the furor that had raged in the newspapers a few months before. The law had never been able to break up the Preacher's drug operation, even though it was notorious as the biggest in Texas. ""How'd they do it?""
""It's very hush-hush,"" he said, steam from his coffee making his hair seem to ripple. ""They squelched the story at the papers, hoping to pull in a couple more fish, I guess. But what I gather is that the thing was pulled off from the inside, from somebody high up in the organization. But nobody knows exactly who it was that sold out.""
""It'll all come clean at the trial, I suppose.""
He nodded. ""Sooner than that, I expect. The DA told me confidentially that they'll have everything they need by five o'clock tonight. You'll see it all on the evening news.""
A sharp rapping came at the door and Pete stood up.
""You've got business. I'll leave you to it.""
""It's probably bill collectors,"" I said. ""I'll yell if they get rough.""
He opened the door and pushed past the two policemen that were waiting outside.
They were both in uniform, but I only knew one of them. That was Brady, the tall, curly headed one that looked like an Irish middleweight. His partner was dark and nondescript, sporting a Police Academy moustache.

Why were the police at the door?",They wanted to ask questions about the Preacher's drug operation.,They were looking for newspapers.,,QuAIL,
"Consider the following passage:

In this confessional age, TV, radio and print rely for much of their content on the sad stories of those 'victims' of life. The story goes something like this: There is the future 'victim' getting on with their quotidian activities and whoosh, they are whisked into a life of gambling, drugs, sex or junk food addiction. After years of struggle, they finally find redemption and become good people again. As in any good tale of redemption, there has to be a 'reason' for why our 'victim' fell off the rails. Take your pick: they were molested, their parents ran away from home, they were denied desserts except on Sundays. Just thinking about it brings a tear to my stony face. How can you not be moved by tales such as these. What is the precipitating cause of the misery in my life? Well, my mother was French and my father was English. And to make things worse, I was brought up Catholic! Yes folks, in today's shorthand of grievance, I'm a half-breed straddling Canada's great language divide and a religious bigot. My hometown was a mixture of French and English-speaking people and the results of their miscenagation. You could never tell by someone's last name who spoke your language (For instance, my good friend P. Arsenault spoke the Queen's English and my cousin Sean Doyle wouldn't have recognized an Oxford Dictionary if you shoved up his nose). As children, we were segregated by language; all the French-speaking kids went to one side of the school where they spoke French all the time. I was fortunate enough to be sent to the English side of the school and got to speak my native tongue. My parents decided my brother and sister wouldn't be quite so lucky. In an effort to bridge the great language divide, they both spent six years learning everything in French and mingling with the French people (My parents did this because it was the firm belief of all forward-thinking families that whatever road you took would be much smoother if you could speak both of Canada's official languages. As it turns out for my siblings and I, this was not to be the case.

what is probably true of the author",he understands english and french,he lives in Canada,,QuAIL,
"Consider the following passage:

I thought I might get some good ideas if I went down to the hospital.
I always have stayed away from hospitals. People died or were born. But now I thought I might get some idea if I went down to where it was all happening, the being born and the dying. Mostly the dying. It was the dying that interested me.
I sat on a bench in a sort of waiting room. I wanted to call it a green room; it wasn't a place where the patients would wait to be called by the doctor; it was a place where the relatives would wait while the patient was in their room. It had a coffee bar, and comfortable couches, with trendy, muted colors on the walls and floor. Everything was clean and modern without being cold, a homogenized balancing act designed to keep everyone calm during their stressful time. It was a green room; patients were ""guests""; their families were ""guests"" as well. Here was where the families would sit and be feted while they waited to be called out to perform, to smile and encourage or to don faces of appropriate mournfulness. The old ones would put on smiles, the young ones would look sad.
I think I went there because it seemed to me that it was the place richest in emotional impact. It reeked of spent emotions, and the emotions were made all the stronger, here in the green room, by the efforts at suppression--the muted walls and gourmet coffees and scones, the overstuffed loveseats and couches, as if those in grief should not be permitted to sit on benches or folding chairs. It absolutely reeked of hush and hidden feeling. It was worse than a church. It was worse than a highschool hallway. It was more universal, more basic, something even the children could comprehend.

What does the narrator believe the room is designed for?",To keep everyone calm during their stressful time.,To be a place where relatives of patients can wait.,,QuAIL,
