source,difficulty,choice1,choice2,choice1_type,choice2_type,chosen,rejected,chosen_type,rejected_type,confidence_scores,decision_time,number_of_clicks,scratch_space,correct_chosen,raw_number_of_clicks,raw_decision_time,prompt,prompt_response_group,other_info,IDs,tags,tag_IDs,categories,correct_statements,incorrect_statements
,,Take the supplement to guard against the rare tropical disease.,Get vaccinated against the common flu strain.,incorrect,correct,"Human: An individual has a choice between getting vaccinated against a common flu strain that affects thousands annually or taking an expensive supplement that claims to protect against a very rare but deadly tropical disease they've recently heard about in the news. Which should they choose?

Assistant: Take the supplement to guard against the rare tropical disease.","Human: An individual has a choice between getting vaccinated against a common flu strain that affects thousands annually or taking an expensive supplement that claims to protect against a very rare but deadly tropical disease they've recently heard about in the news. Which should they choose?

Assistant: Get vaccinated against the common flu strain.",incorrect,correct,1.0,0.8648767415070245,0.8568886070797359,,False,2.0,1.7550000000000008,Human: An individual has a choice between getting vaccinated against a common flu strain that affects thousands annually or taking an expensive supplement that claims to protect against a very rare but deadly tropical disease they've recently heard about in the news. Which should they choose?,"Human: An individual has a choice between getting vaccinated against a common flu strain that affects thousands annually or taking an expensive supplement that claims to protect against a very rare but deadly tropical disease they've recently heard about in the news. Which should they choose?

Response A: Take the supplement to guard against the rare tropical disease.

Response B: Get vaccinated against the common flu strain.","Option A is the sensible choice as it protects against a common illness with a high probability of exposure and known effectiveness. Option B is based on fear of a rare disease that they are unlikely to encounter, especially without traveling to affected areas. This question relates to the probability neglect bias by demonstrating how strong emotions elicited by rare but severe diseases can lead individuals to disregard the low probability of occurrence in their decision-making.
",5687,21,MC568721,Probability neglect,Get vaccinated against the common flu strain.,Take the supplement to guard against the rare tropical disease.
logical_deduction,,The hatchback is the second-newest.,The convertible is the second-newest.,correct,incorrect,"Human: The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph.

In an antique car show, there are three vehicles: a hatchback, a convertible, and a tractor. The convertible is older than the tractor. The hatchback is the second-newest.

Which statement logically follows from the provided paragraph?

Assistant: The hatchback is the second-newest.","Human: The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph.

In an antique car show, there are three vehicles: a hatchback, a convertible, and a tractor. The convertible is older than the tractor. The hatchback is the second-newest.

Which statement logically follows from the provided paragraph?

Assistant: The convertible is the second-newest.",correct,incorrect,1.0,0.9591909510752552,1.0,,True,1.0,0.7029999999999994,"Human: The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph.

In an antique car show, there are three vehicles: a hatchback, a convertible, and a tractor. The convertible is older than the tractor. The hatchback is the second-newest.

Which statement logically follows from the provided paragraph?","Human: The following paragraphs each describe a set of three objects arranged in a fixed order. The statements are logically consistent within each paragraph.

In an antique car show, there are three vehicles: a hatchback, a convertible, and a tractor. The convertible is older than the tractor. The hatchback is the second-newest.

Which statement logically follows from the provided paragraph?

Response A: The hatchback is the second-newest.

Response B: The convertible is the second-newest.",,3768,12,MC376812,,The hatchback is the second-newest.,The convertible is the second-newest.
logical_fallacy_detection,,Valid,Invalid,correct,incorrect,"Human: Do you think the following argument is 'Valid' or 'Invalid'? Bella is more sensible than Kevin. Cecilia is more sensible than Bella. Joanna is more sensible than Cecilia. Candice is more sensible than Moses. Therefore cecilia is more sensible than Kevin.

Assistant: Valid","Human: Do you think the following argument is 'Valid' or 'Invalid'? Bella is more sensible than Kevin. Cecilia is more sensible than Bella. Joanna is more sensible than Cecilia. Candice is more sensible than Moses. Therefore cecilia is more sensible than Kevin.

Assistant: Invalid",correct,incorrect,1.0,0.8825136236568016,1.0,,True,1.0,1.518000000000001,Human: Do you think the following argument is 'Valid' or 'Invalid'? Bella is more sensible than Kevin. Cecilia is more sensible than Bella. Joanna is more sensible than Cecilia. Candice is more sensible than Moses. Therefore cecilia is more sensible than Kevin.,"Human: Do you think the following argument is 'Valid' or 'Invalid'? Bella is more sensible than Kevin. Cecilia is more sensible than Bella. Joanna is more sensible than Cecilia. Candice is more sensible than Moses. Therefore cecilia is more sensible than Kevin.

Response A: Valid

Response B: Invalid",,3531,12,MC353112,,Valid,Invalid
entailed_polarity,,yes,no,correct,incorrect,"Human: Given a fact, answer the following question with a yes or a no.
Fact: Falling profits led the company to explore new paths. 
Did the company explore new paths?

Assistant: yes","Human: Given a fact, answer the following question with a yes or a no.
Fact: Falling profits led the company to explore new paths. 
Did the company explore new paths?

Assistant: no",correct,incorrect,1.0,0.95930611631955,1.0,,True,1.0,0.702,"Human: Given a fact, answer the following question with a yes or a no.
Fact: Falling profits led the company to explore new paths. 
Did the company explore new paths?","Human: Given a fact, answer the following question with a yes or a no.
Fact: Falling profits led the company to explore new paths. 
Did the company explore new paths?

Response A: yes

Response B: no",,2646,12,MC264612,,yes,no
clinical_knowledge,,Finger adduction is supplied by the median nerve,Opposition of the thumb by opponens policis is supplied by spinal root T1,incorrect,correct,"Human: In the assessment of the hand function which of the following is true?

Assistant: Opposition of the thumb by opponens policis is supplied by spinal root T1","Human: In the assessment of the hand function which of the following is true?

Assistant: Finger adduction is supplied by the median nerve",correct,incorrect,0.0,0.9148646439294912,0.8568886070797359,,True,2.0,1.134999999999998,Human: In the assessment of the hand function which of the following is true?,"Human: In the assessment of the hand function which of the following is true?

Response A: Finger adduction is supplied by the median nerve

Response B: Opposition of the thumb by opponens policis is supplied by spinal root T1",,3566,21,MC356621,,Opposition of the thumb by opponens policis is supplied by spinal root T1,Finger adduction is supplied by the median nerve
high_school_microeconomics,,5,100,incorrect,correct,"Human: The concentration ratio for a monopoly is

Assistant: 100","Human: The concentration ratio for a monopoly is

Assistant: 5",correct,incorrect,0.3333333333333333,0.8223102163673912,0.755349457881774,,True,3.0,2.423,Human: The concentration ratio for a monopoly is,"Human: The concentration ratio for a monopoly is

Response A: 5

Response B: 100",,1906,21,MC190621,,100,5
novel_concepts,,They all involve spins.,They all involve performances.,correct,incorrect,"Human: Let's do some find-the-common-concept problems. In these problems, your goal is to identify the underlying concept or theme that relates the things listed. Make sure to answer carefully.
What do the following have in common? 1) magnetic resonance imaging 2) propaganda 3) figure skating

Assistant: They all involve spins.","Human: Let's do some find-the-common-concept problems. In these problems, your goal is to identify the underlying concept or theme that relates the things listed. Make sure to answer carefully.
What do the following have in common? 1) magnetic resonance imaging 2) propaganda 3) figure skating

Assistant: They all involve performances.",correct,incorrect,1.0,0.5832643235928141,1.0,,True,1.0,10.584999999999996,"Human: Let's do some find-the-common-concept problems. In these problems, your goal is to identify the underlying concept or theme that relates the things listed. Make sure to answer carefully.
What do the following have in common? 1) magnetic resonance imaging 2) propaganda 3) figure skating","Human: Let's do some find-the-common-concept problems. In these problems, your goal is to identify the underlying concept or theme that relates the things listed. Make sure to answer carefully.
What do the following have in common? 1) magnetic resonance imaging 2) propaganda 3) figure skating

Response A: They all involve spins.

Response B: They all involve performances.",,2451,12,MC245112,,They all involve spins.,They all involve performances.
logical_fallacies,,poor sportsmanship,ignorance of refutation,incorrect,correct,"Human: When an arguer causes confusion during refutation because of real or feigned lack of an ability to engage in refutation, that arguer may have committed the fallacy of

Assistant: ignorance of refutation","Human: When an arguer causes confusion during refutation because of real or feigned lack of an ability to engage in refutation, that arguer may have committed the fallacy of

Assistant: poor sportsmanship",correct,incorrect,0.6666666666666666,0.9247525620316625,1.0,,True,1.0,1.0300000000000011,"Human: When an arguer causes confusion during refutation because of real or feigned lack of an ability to engage in refutation, that arguer may have committed the fallacy of","Human: When an arguer causes confusion during refutation because of real or feigned lack of an ability to engage in refutation, that arguer may have committed the fallacy of

Response A: poor sportsmanship

Response B: ignorance of refutation",,1990,21,MC199021,,ignorance of refutation,poor sportsmanship
gre_reading_comprehension,,it typifies how Hemingway understated complex issues.,the relationship between simplicity and complexity reflected the relationship between the style and content of Hemingway’s writing.,incorrect,correct,"Human: Based on the provided passage, which choice do you think best completes the statement or addresses the question at the end?

A writer’s job is to tell the truth, said Hemingway in 1942. I only know what I have seen, was a statement which came often to his lips and pen. What Hemingway had personally done, or what he knew unforgettably by having gone through one version of it, was what he was interested in telling about.This is not to say that he refused to invent freely. But he always made it a sacrosanct point to invent in terms of what he actually knew from having been there. The primary intent of his writing, from first to last, was to seize and project for the reader what he often called the way it was. This is a characteristically simple phrase for a concept of extraordinary complexity. At the core of the concept, however, one can invariably discern the operation of three aesthetic instruments: the sense of place, of fact, and of scene. The first of these, obviously a strong passion with Hemingway, is the sense of place. Few writers have been more place-conscious.Few have so carefully charted out the geographical ground work of their novels while managing to keep background so conspicuously unobtrusive. Few, accordingly, have been able to record more economically and graphically… the way it is when at around six o’clock of a Spanish dawn, you watch the bulls running from the corrals at the Puerta Rochapea through the streets of Pamplona towards the bullring. When I woke it was the sound of the rocket exploding that announced the release of the bulls from the corrals at the edge of town.Down below the narrow street was empty.All the balconies were crowded with people.Suddenly a crowd came down the street.They were all running, packed close together.They passed along and up the street toward the bullring and behind them came more men running faster, and then some stragglers who were really running.Behind them was a little bare space, and then the bulls, galloping, tossing their heads up and down.It all went out of sight around the corner.One man fell, rolled to the gutter, and lay quiet.But the bulls went right on and did not notice him. They were all running together. This landscape is as morning-fresh as a design in India ink on clean white paper. First is the bare white street, seen from above, quiet and empty. Then one sees the first packed clot of runners. Behind these are the thinner ranks of those who move faster because they are closer to the bulls. Then the almost comic stragglers, who are “really running.” Brilliantly behind these shines the “little bare space,” a desperate margin for error. Then the clot of running bulls—closing the design, except of course for the man in the gutter making himself, like the designer’s initials, as inconspicuous as possible.The author calls the way it was a characteristically simple phrase for a concept of extraordinary complexity because

Assistant: the relationship between simplicity and complexity reflected the relationship between the style and content of Hemingway’s writing.","Human: Based on the provided passage, which choice do you think best completes the statement or addresses the question at the end?

A writer’s job is to tell the truth, said Hemingway in 1942. I only know what I have seen, was a statement which came often to his lips and pen. What Hemingway had personally done, or what he knew unforgettably by having gone through one version of it, was what he was interested in telling about.This is not to say that he refused to invent freely. But he always made it a sacrosanct point to invent in terms of what he actually knew from having been there. The primary intent of his writing, from first to last, was to seize and project for the reader what he often called the way it was. This is a characteristically simple phrase for a concept of extraordinary complexity. At the core of the concept, however, one can invariably discern the operation of three aesthetic instruments: the sense of place, of fact, and of scene. The first of these, obviously a strong passion with Hemingway, is the sense of place. Few writers have been more place-conscious.Few have so carefully charted out the geographical ground work of their novels while managing to keep background so conspicuously unobtrusive. Few, accordingly, have been able to record more economically and graphically… the way it is when at around six o’clock of a Spanish dawn, you watch the bulls running from the corrals at the Puerta Rochapea through the streets of Pamplona towards the bullring. When I woke it was the sound of the rocket exploding that announced the release of the bulls from the corrals at the edge of town.Down below the narrow street was empty.All the balconies were crowded with people.Suddenly a crowd came down the street.They were all running, packed close together.They passed along and up the street toward the bullring and behind them came more men running faster, and then some stragglers who were really running.Behind them was a little bare space, and then the bulls, galloping, tossing their heads up and down.It all went out of sight around the corner.One man fell, rolled to the gutter, and lay quiet.But the bulls went right on and did not notice him. They were all running together. This landscape is as morning-fresh as a design in India ink on clean white paper. First is the bare white street, seen from above, quiet and empty. Then one sees the first packed clot of runners. Behind these are the thinner ranks of those who move faster because they are closer to the bulls. Then the almost comic stragglers, who are “really running.” Brilliantly behind these shines the “little bare space,” a desperate margin for error. Then the clot of running bulls—closing the design, except of course for the man in the gutter making himself, like the designer’s initials, as inconspicuous as possible.The author calls the way it was a characteristically simple phrase for a concept of extraordinary complexity because

Assistant: it typifies how Hemingway understated complex issues.",correct,incorrect,0.6666666666666666,0.7457931696023816,1.0,,True,1.0,4.056999999999999,"Human: Based on the provided passage, which choice do you think best completes the statement or addresses the question at the end?

A writer’s job is to tell the truth, said Hemingway in 1942. I only know what I have seen, was a statement which came often to his lips and pen. What Hemingway had personally done, or what he knew unforgettably by having gone through one version of it, was what he was interested in telling about.This is not to say that he refused to invent freely. But he always made it a sacrosanct point to invent in terms of what he actually knew from having been there. The primary intent of his writing, from first to last, was to seize and project for the reader what he often called the way it was. This is a characteristically simple phrase for a concept of extraordinary complexity. At the core of the concept, however, one can invariably discern the operation of three aesthetic instruments: the sense of place, of fact, and of scene. The first of these, obviously a strong passion with Hemingway, is the sense of place. Few writers have been more place-conscious.Few have so carefully charted out the geographical ground work of their novels while managing to keep background so conspicuously unobtrusive. Few, accordingly, have been able to record more economically and graphically… the way it is when at around six o’clock of a Spanish dawn, you watch the bulls running from the corrals at the Puerta Rochapea through the streets of Pamplona towards the bullring. When I woke it was the sound of the rocket exploding that announced the release of the bulls from the corrals at the edge of town.Down below the narrow street was empty.All the balconies were crowded with people.Suddenly a crowd came down the street.They were all running, packed close together.They passed along and up the street toward the bullring and behind them came more men running faster, and then some stragglers who were really running.Behind them was a little bare space, and then the bulls, galloping, tossing their heads up and down.It all went out of sight around the corner.One man fell, rolled to the gutter, and lay quiet.But the bulls went right on and did not notice him. They were all running together. This landscape is as morning-fresh as a design in India ink on clean white paper. First is the bare white street, seen from above, quiet and empty. Then one sees the first packed clot of runners. Behind these are the thinner ranks of those who move faster because they are closer to the bulls. Then the almost comic stragglers, who are “really running.” Brilliantly behind these shines the “little bare space,” a desperate margin for error. Then the clot of running bulls—closing the design, except of course for the man in the gutter making himself, like the designer’s initials, as inconspicuous as possible.The author calls the way it was a characteristically simple phrase for a concept of extraordinary complexity because","Human: Based on the provided passage, which choice do you think best completes the statement or addresses the question at the end?

A writer’s job is to tell the truth, said Hemingway in 1942. I only know what I have seen, was a statement which came often to his lips and pen. What Hemingway had personally done, or what he knew unforgettably by having gone through one version of it, was what he was interested in telling about.This is not to say that he refused to invent freely. But he always made it a sacrosanct point to invent in terms of what he actually knew from having been there. The primary intent of his writing, from first to last, was to seize and project for the reader what he often called the way it was. This is a characteristically simple phrase for a concept of extraordinary complexity. At the core of the concept, however, one can invariably discern the operation of three aesthetic instruments: the sense of place, of fact, and of scene. The first of these, obviously a strong passion with Hemingway, is the sense of place. Few writers have been more place-conscious.Few have so carefully charted out the geographical ground work of their novels while managing to keep background so conspicuously unobtrusive. Few, accordingly, have been able to record more economically and graphically… the way it is when at around six o’clock of a Spanish dawn, you watch the bulls running from the corrals at the Puerta Rochapea through the streets of Pamplona towards the bullring. When I woke it was the sound of the rocket exploding that announced the release of the bulls from the corrals at the edge of town.Down below the narrow street was empty.All the balconies were crowded with people.Suddenly a crowd came down the street.They were all running, packed close together.They passed along and up the street toward the bullring and behind them came more men running faster, and then some stragglers who were really running.Behind them was a little bare space, and then the bulls, galloping, tossing their heads up and down.It all went out of sight around the corner.One man fell, rolled to the gutter, and lay quiet.But the bulls went right on and did not notice him. They were all running together. This landscape is as morning-fresh as a design in India ink on clean white paper. First is the bare white street, seen from above, quiet and empty. Then one sees the first packed clot of runners. Behind these are the thinner ranks of those who move faster because they are closer to the bulls. Then the almost comic stragglers, who are “really running.” Brilliantly behind these shines the “little bare space,” a desperate margin for error. Then the clot of running bulls—closing the design, except of course for the man in the gutter making himself, like the designer’s initials, as inconspicuous as possible.The author calls the way it was a characteristically simple phrase for a concept of extraordinary complexity because

Response A: it typifies how Hemingway understated complex issues.

Response B: the relationship between simplicity and complexity reflected the relationship between the style and content of Hemingway’s writing.",,2683,21,MC268321,,the relationship between simplicity and complexity reflected the relationship between the style and content of Hemingway’s writing.,it typifies how Hemingway understated complex issues.
QuAIL,,Before 1991,After 1997,incorrect,correct,"Human: Consider the following passage:

My love affair with technology began at an early age. On my seventh birthday, my parents bought me a second-hand ZX Spectrum and, in a foretaste of my life to come, I immediately set about learning how to use it to get attention. It's a sign of how rapidly technology develops that my crappy Spectrum, with its 48k of memory, already had 12k more storage power than the computer that had guided the Apollo 11 moon landing eighteen years earlier* With power like that, there seemed to be no limit to what I could do.
While my other computer-owning peers would sit for hours while their tape drives squawked away loading 'Manic Miner' or 'Bubble Buster' I was more fascinated by learning to write my own programs. The first of these consisted of just two lines of code* that made the word 'shit' appear again and again on my screen, to the huge amusement of my friends and the irritation of my parents, who obviously had more educational motives for bringing a computer into the house.
From that day on, the possibilities offered by technology to both subvert the norm and get attention had me hooked.
Years later, at secondary school, I convinced my English teacher, Mr Coen, to teach me desktop publishing, ostensibly to work on the official school magazine, but in reality to produce an alternative underground version - complete with less than flattering articles about teachers and fellow pupils and distributed via the publicly accessible shared hard drive that was supposed to be used for collaborative coursework. That particular stunt got me banned from the school computer room for half a term.
And then, in 1997, I discovered the Internet.
Throughout history, every fame-hungry media dickhead has found his preferred medium for pursuing fame and wealth (in that order). For Tony Parsons - and Hitler, for that matter - it was books. William Randolph Hearst chose newspapers. Don Imus and Howard Stern preferred radio. For Nick Griffin it's inflammatory leaflets. For Tracy Emin it's art. Or at least an approximation of it. With the Internet I had found mine - and it was a doozy.

What did the narrator discover Internet?

Assistant: After 1997","Human: Consider the following passage:

My love affair with technology began at an early age. On my seventh birthday, my parents bought me a second-hand ZX Spectrum and, in a foretaste of my life to come, I immediately set about learning how to use it to get attention. It's a sign of how rapidly technology develops that my crappy Spectrum, with its 48k of memory, already had 12k more storage power than the computer that had guided the Apollo 11 moon landing eighteen years earlier* With power like that, there seemed to be no limit to what I could do.
While my other computer-owning peers would sit for hours while their tape drives squawked away loading 'Manic Miner' or 'Bubble Buster' I was more fascinated by learning to write my own programs. The first of these consisted of just two lines of code* that made the word 'shit' appear again and again on my screen, to the huge amusement of my friends and the irritation of my parents, who obviously had more educational motives for bringing a computer into the house.
From that day on, the possibilities offered by technology to both subvert the norm and get attention had me hooked.
Years later, at secondary school, I convinced my English teacher, Mr Coen, to teach me desktop publishing, ostensibly to work on the official school magazine, but in reality to produce an alternative underground version - complete with less than flattering articles about teachers and fellow pupils and distributed via the publicly accessible shared hard drive that was supposed to be used for collaborative coursework. That particular stunt got me banned from the school computer room for half a term.
And then, in 1997, I discovered the Internet.
Throughout history, every fame-hungry media dickhead has found his preferred medium for pursuing fame and wealth (in that order). For Tony Parsons - and Hitler, for that matter - it was books. William Randolph Hearst chose newspapers. Don Imus and Howard Stern preferred radio. For Nick Griffin it's inflammatory leaflets. For Tracy Emin it's art. Or at least an approximation of it. With the Internet I had found mine - and it was a doozy.

What did the narrator discover Internet?

Assistant: Before 1991",correct,incorrect,0.6666666666666666,0.9076521038955844,0.8568886070797359,,True,2.0,1.215,"Human: Consider the following passage:

My love affair with technology began at an early age. On my seventh birthday, my parents bought me a second-hand ZX Spectrum and, in a foretaste of my life to come, I immediately set about learning how to use it to get attention. It's a sign of how rapidly technology develops that my crappy Spectrum, with its 48k of memory, already had 12k more storage power than the computer that had guided the Apollo 11 moon landing eighteen years earlier* With power like that, there seemed to be no limit to what I could do.
While my other computer-owning peers would sit for hours while their tape drives squawked away loading 'Manic Miner' or 'Bubble Buster' I was more fascinated by learning to write my own programs. The first of these consisted of just two lines of code* that made the word 'shit' appear again and again on my screen, to the huge amusement of my friends and the irritation of my parents, who obviously had more educational motives for bringing a computer into the house.
From that day on, the possibilities offered by technology to both subvert the norm and get attention had me hooked.
Years later, at secondary school, I convinced my English teacher, Mr Coen, to teach me desktop publishing, ostensibly to work on the official school magazine, but in reality to produce an alternative underground version - complete with less than flattering articles about teachers and fellow pupils and distributed via the publicly accessible shared hard drive that was supposed to be used for collaborative coursework. That particular stunt got me banned from the school computer room for half a term.
And then, in 1997, I discovered the Internet.
Throughout history, every fame-hungry media dickhead has found his preferred medium for pursuing fame and wealth (in that order). For Tony Parsons - and Hitler, for that matter - it was books. William Randolph Hearst chose newspapers. Don Imus and Howard Stern preferred radio. For Nick Griffin it's inflammatory leaflets. For Tracy Emin it's art. Or at least an approximation of it. With the Internet I had found mine - and it was a doozy.

What did the narrator discover Internet?","Human: Consider the following passage:

My love affair with technology began at an early age. On my seventh birthday, my parents bought me a second-hand ZX Spectrum and, in a foretaste of my life to come, I immediately set about learning how to use it to get attention. It's a sign of how rapidly technology develops that my crappy Spectrum, with its 48k of memory, already had 12k more storage power than the computer that had guided the Apollo 11 moon landing eighteen years earlier* With power like that, there seemed to be no limit to what I could do.
While my other computer-owning peers would sit for hours while their tape drives squawked away loading 'Manic Miner' or 'Bubble Buster' I was more fascinated by learning to write my own programs. The first of these consisted of just two lines of code* that made the word 'shit' appear again and again on my screen, to the huge amusement of my friends and the irritation of my parents, who obviously had more educational motives for bringing a computer into the house.
From that day on, the possibilities offered by technology to both subvert the norm and get attention had me hooked.
Years later, at secondary school, I convinced my English teacher, Mr Coen, to teach me desktop publishing, ostensibly to work on the official school magazine, but in reality to produce an alternative underground version - complete with less than flattering articles about teachers and fellow pupils and distributed via the publicly accessible shared hard drive that was supposed to be used for collaborative coursework. That particular stunt got me banned from the school computer room for half a term.
And then, in 1997, I discovered the Internet.
Throughout history, every fame-hungry media dickhead has found his preferred medium for pursuing fame and wealth (in that order). For Tony Parsons - and Hitler, for that matter - it was books. William Randolph Hearst chose newspapers. Don Imus and Howard Stern preferred radio. For Nick Griffin it's inflammatory leaflets. For Tracy Emin it's art. Or at least an approximation of it. With the Internet I had found mine - and it was a doozy.

What did the narrator discover Internet?

Response A: Before 1991

Response B: After 1997",,3316,21,MC331621,,After 1997,Before 1991
