source,difficulty,choice1,choice2,choice1_type,choice2_type,chosen,rejected,chosen_type,rejected_type,confidence_scores,decision_time,number_of_clicks,scratch_space,correct_chosen,raw_number_of_clicks,raw_decision_time,prompt,prompt_response_group,other_info,IDs,tags,tag_IDs,categories,correct_statements,incorrect_statements
tracking_shuffled_objects,,Moby Dick.,Catch-22.,incorrect,correct,"Human: Based on the provided information, complete the statement.

Alice, Bob, Claire, Dave, and Eve are friends and avid readers who occasionally trade books. At the start of the semester, they each buy one new book: Alice gets Hound of the Baskervilles, Bob gets Moby Dick, Claire gets The Fellowship of the Ring, Dave gets Catch-22, and Eve gets Frankenstein. 

As the semester proceeds, they start trading around the new books. First, Claire and Dave swap books. Then, Alice and Eve swap books. Then, Bob and Eve swap books. Then, Dave and Bob swap books. Finally, Alice and Dave swap books. At the end of the semester, Claire has

Assistant: Catch-22.","Human: Based on the provided information, complete the statement.

Alice, Bob, Claire, Dave, and Eve are friends and avid readers who occasionally trade books. At the start of the semester, they each buy one new book: Alice gets Hound of the Baskervilles, Bob gets Moby Dick, Claire gets The Fellowship of the Ring, Dave gets Catch-22, and Eve gets Frankenstein. 

As the semester proceeds, they start trading around the new books. First, Claire and Dave swap books. Then, Alice and Eve swap books. Then, Bob and Eve swap books. Then, Dave and Bob swap books. Finally, Alice and Dave swap books. At the end of the semester, Claire has

Assistant: Moby Dick.",correct,incorrect,1.0,0.8945589789168888,1.0,,True,1.0,1.3030000000000044,"Human: Based on the provided information, complete the statement.

Alice, Bob, Claire, Dave, and Eve are friends and avid readers who occasionally trade books. At the start of the semester, they each buy one new book: Alice gets Hound of the Baskervilles, Bob gets Moby Dick, Claire gets The Fellowship of the Ring, Dave gets Catch-22, and Eve gets Frankenstein. 

As the semester proceeds, they start trading around the new books. First, Claire and Dave swap books. Then, Alice and Eve swap books. Then, Bob and Eve swap books. Then, Dave and Bob swap books. Finally, Alice and Dave swap books. At the end of the semester, Claire has","Human: Based on the provided information, complete the statement.

Alice, Bob, Claire, Dave, and Eve are friends and avid readers who occasionally trade books. At the start of the semester, they each buy one new book: Alice gets Hound of the Baskervilles, Bob gets Moby Dick, Claire gets The Fellowship of the Ring, Dave gets Catch-22, and Eve gets Frankenstein. 

As the semester proceeds, they start trading around the new books. First, Claire and Dave swap books. Then, Alice and Eve swap books. Then, Bob and Eve swap books. Then, Dave and Bob swap books. Finally, Alice and Dave swap books. At the end of the semester, Claire has

Response A: Moby Dick.

Response B: Catch-22.",,4175,21,MC417521,,Catch-22.,Moby Dick.
,,My short-term memory is above average.,My short-term memory is below average.,incorrect,correct,"Human: Statistics indicate that the average person can recall 7 digits in a memory test. In a recent test, you were able to recall 5 digits. Compared to the average person, how is your short-term memory?

Assistant: My short-term memory is below average.","Human: Statistics indicate that the average person can recall 7 digits in a memory test. In a recent test, you were able to recall 5 digits. Compared to the average person, how is your short-term memory?

Assistant: My short-term memory is above average.",correct,incorrect,1.0,0.7758601957983164,1.0,,True,1.0,3.16,"Human: Statistics indicate that the average person can recall 7 digits in a memory test. In a recent test, you were able to recall 5 digits. Compared to the average person, how is your short-term memory?","Human: Statistics indicate that the average person can recall 7 digits in a memory test. In a recent test, you were able to recall 5 digits. Compared to the average person, how is your short-term memory?

Response A: My short-term memory is above average.

Response B: My short-term memory is below average.","Recalling fewer digits (5) than the average (7) suggests that your short-term memory is below average. Selecting Option A would be an overestimation, reflecting the better-than-average effect.",5674,21,MC567421,better-than-average bias,My short-term memory is below average.,My short-term memory is above average.
trivia_qa,,"The infamous horse, Black Nell, belonged to Billy the Kid.",Wild Bill Hickok's horse was Black Nell.,incorrect,correct,"Human: Whose horse was Black Nell?

Assistant: Wild Bill Hickok's horse was Black Nell.","Human: Whose horse was Black Nell?

Assistant: The infamous horse, Black Nell, belonged to Billy the Kid.",correct,incorrect,1.0,0.4854493179445222,0.7336804366512111,,True,3.0,16.676000000000002,Human: Whose horse was Black Nell?,"Human: Whose horse was Black Nell?

Response A: The infamous horse, Black Nell, belonged to Billy the Kid.

Response B: Wild Bill Hickok's horse was Black Nell.",,4417,21,MC441721,,Wild Bill Hickok's horse was Black Nell.,"The infamous horse, Black Nell, belonged to Billy the Kid."
reasoning_about_colored_objects,,seven,3,incorrect,correct,"Human: On the table, there are three red envelopes, three red jugs, one silver envelope, two silver jugs, two brown envelopes, and two brown paperclips. If I remove all the envelopes from the table, how many red things remain on it?

Assistant: 3","Human: On the table, there are three red envelopes, three red jugs, one silver envelope, two silver jugs, two brown envelopes, and two brown paperclips. If I remove all the envelopes from the table, how many red things remain on it?

Assistant: seven",correct,incorrect,1.0,0.8173638840744131,0.844213042232526,,True,2.0,2.382999999999999,"Human: On the table, there are three red envelopes, three red jugs, one silver envelope, two silver jugs, two brown envelopes, and two brown paperclips. If I remove all the envelopes from the table, how many red things remain on it?","Human: On the table, there are three red envelopes, three red jugs, one silver envelope, two silver jugs, two brown envelopes, and two brown paperclips. If I remove all the envelopes from the table, how many red things remain on it?

Response A: seven

Response B: 3",,1728,21,MC172821,,3,seven
evaluating_information_essentiality,,Either statement 1 or statement 2 is sufficient,Statement 2 alone is sufficient while statement 1 alone is insufficient,incorrect,correct,"Human: Question: Is Alexia a doctor? Which of the following statements is/are sufficient to answer the previous question? 
1. Either Alexia or Jenny is a doctor. 
2. Alexia and Jenny are a doctor and nurse respectively.
 

Assistant: Statement 2 alone is sufficient while statement 1 alone is insufficient","Human: Question: Is Alexia a doctor? Which of the following statements is/are sufficient to answer the previous question? 
1. Either Alexia or Jenny is a doctor. 
2. Alexia and Jenny are a doctor and nurse respectively.
 

Assistant: Either statement 1 or statement 2 is sufficient",correct,incorrect,1.0,0.4365900598697495,0.844213042232526,,True,2.0,21.547,"Human: Question: Is Alexia a doctor? Which of the following statements is/are sufficient to answer the previous question? 
1. Either Alexia or Jenny is a doctor. 
2. Alexia and Jenny are a doctor and nurse respectively.","Human: Question: Is Alexia a doctor? Which of the following statements is/are sufficient to answer the previous question? 
1. Either Alexia or Jenny is a doctor. 
2. Alexia and Jenny are a doctor and nurse respectively.

Response A: Either statement 1 or statement 2 is sufficient

Response B: Statement 2 alone is sufficient while statement 1 alone is insufficient",,1069,21,MC106921,,Statement 2 alone is sufficient while statement 1 alone is insufficient,Either statement 1 or statement 2 is sufficient
sports_understanding,,plausible,implausible,correct,incorrect,"Human: Determine whether the following statement or statements are plausible or implausible:
Statement: Pascal Siakam drove into the paint in the Western Conference Finals
Plausible/implausible?

Assistant: plausible","Human: Determine whether the following statement or statements are plausible or implausible:
Statement: Pascal Siakam drove into the paint in the Western Conference Finals
Plausible/implausible?

Assistant: implausible",correct,incorrect,1.0,0.7559394328565188,1.0,,True,1.0,3.594000000000001,"Human: Determine whether the following statement or statements are plausible or implausible:
Statement: Pascal Siakam drove into the paint in the Western Conference Finals
Plausible/implausible?","Human: Determine whether the following statement or statements are plausible or implausible:
Statement: Pascal Siakam drove into the paint in the Western Conference Finals
Plausible/implausible?

Response A: plausible

Response B: implausible",,4145,12,MC414512,,plausible,implausible
trivia_qa,,Turin lies on the Po river,Turin lies on the Seine River.,correct,incorrect,"Human: Turin lies on which river?

Assistant: Turin lies on the Po river","Human: Turin lies on which river?

Assistant: Turin lies on the Seine River.",correct,incorrect,1.0,0.7948770998807487,0.6479446869911012,,True,4.0,2.784,Human: Turin lies on which river?,"Human: Turin lies on which river?

Response A: Turin lies on the Po river

Response B: Turin lies on the Seine River.",,4354,12,MC435412,,Turin lies on the Po river,Turin lies on the Seine River.
,,"4, 6, 8","7, 11, 13",correct,incorrect,"Human: You see the following example sequence is: 2, 3, 5. The rule you are testing is ""All sequences must consist of consecutive prime numbers."" Which sequence should you propose to effectively test whether your hypothesis about the rule is correct?

Assistant: 7, 11, 13","Human: You see the following example sequence is: 2, 3, 5. The rule you are testing is ""All sequences must consist of consecutive prime numbers."" Which sequence should you propose to effectively test whether your hypothesis about the rule is correct?

Assistant: 4, 6, 8",incorrect,correct,1.0,0.9741735657647704,0.844213042232526,,False,2.0,0.5489999999999995,"Human: You see the following example sequence is: 2, 3, 5. The rule you are testing is ""All sequences must consist of consecutive prime numbers."" Which sequence should you propose to effectively test whether your hypothesis about the rule is correct?","Human: You see the following example sequence is: 2, 3, 5. The rule you are testing is ""All sequences must consist of consecutive prime numbers."" Which sequence should you propose to effectively test whether your hypothesis about the rule is correct?

Response A: 4, 6, 8

Response B: 7, 11, 13",2-4-6 task,5603,12,MC560312,Confirmation bias,"4, 6, 8","7, 11, 13"
crass_ai,,He would have died.,He would have gotten wet.,incorrect,correct,"Human: A man catches a ball. What would have happened if the man had caught a water balloon?

Assistant: He would have gotten wet.","Human: A man catches a ball. What would have happened if the man had caught a water balloon?

Assistant: He would have died.",correct,incorrect,1.0,0.6686894230026537,0.844213042232526,,True,2.0,6.095000000000001,Human: A man catches a ball. What would have happened if the man had caught a water balloon?,"Human: A man catches a ball. What would have happened if the man had caught a water balloon?

Response A: He would have died.

Response B: He would have gotten wet.",,4683,21,MC468321,,He would have gotten wet.,He would have died.
,,George is an engineer.,George is a lawyer.,incorrect,correct,"Human: Among the 1000 people that participated in a study, there were 100 engineers and 900 lawyers. George is randomly chosen participant in this research. George is 36 years old. He is not married and is somewhat introverted. He likes to spend his free time reading science fiction and developing computer programs. Is George more likely to be an engineer or a lawyer?

Assistant: George is an engineer.","Human: Among the 1000 people that participated in a study, there were 100 engineers and 900 lawyers. George is randomly chosen participant in this research. George is 36 years old. He is not married and is somewhat introverted. He likes to spend his free time reading science fiction and developing computer programs. Is George more likely to be an engineer or a lawyer?

Assistant: George is a lawyer.",incorrect,correct,1.0,0.8462910613787407,1.0,,False,1.0,1.929000000000002,"Human: Among the 1000 people that participated in a study, there were 100 engineers and 900 lawyers. George is randomly chosen participant in this research. George is 36 years old. He is not married and is somewhat introverted. He likes to spend his free time reading science fiction and developing computer programs. Is George more likely to be an engineer or a lawyer?","Human: Among the 1000 people that participated in a study, there were 100 engineers and 900 lawyers. George is randomly chosen participant in this research. George is 36 years old. He is not married and is somewhat introverted. He likes to spend his free time reading science fiction and developing computer programs. Is George more likely to be an engineer or a lawyer?

Response A: George is an engineer.

Response B: George is a lawyer.",Correct = no bias,5386,21,MC538621,Base-rate neglect (statistical),George is a lawyer.,George is an engineer.
