raw_decision_time,prompt,IDs,choice1,choice2,choice1_type,choice2_type,confidence_scores,vote,correct_chosen,accuracy,chosen,rejected,chosen_type,rejected_type,decision_time,source,difficulty,prompt_response_group,other_info,categories,correct_statements,incorrect_statements,dataset_name
23.334,"Human: What is the ""fictitious"" force that appears to pull an object away from the center of rotation in a rotating reference frame?",2639,"The ""fictitious"" force that appears to pull an object away from the center of rotation in a rotating reference frame is the Coriolis force.","The ""fictitious"" force that appears to pull an object away from the center of rotation in a rotating reference frame is the centrifugal force.",incorrect,correct,1.0,choice2,1,1.0,"Human: What is the ""fictitious"" force that appears to pull an object away from the center of rotation in a rotating reference frame?

Assistant: The ""fictitious"" force that appears to pull an object away from the center of rotation in a rotating reference frame is the centrifugal force.","Human: What is the ""fictitious"" force that appears to pull an object away from the center of rotation in a rotating reference frame?

Assistant: The ""fictitious"" force that appears to pull an object away from the center of rotation in a rotating reference frame is the Coriolis force.",correct,incorrect,0.0288840767188371,jeopardy,3.0,"Human: What is the ""fictitious"" force that appears to pull an object away from the center of rotation in a rotating reference frame?

Response A: The ""fictitious"" force that appears to pull an object away from the center of rotation in a rotating reference frame is the Coriolis force.

Response B: The ""fictitious"" force that appears to pull an object away from the center of rotation in a rotating reference frame is the centrifugal force.",,,"The ""fictitious"" force that appears to pull an object away from the center of rotation in a rotating reference frame is the centrifugal force.","The ""fictitious"" force that appears to pull an object away from the center of rotation in a rotating reference frame is the Coriolis force.",jeopardy
19.216,Human: What was the name under which Volkswagen's Golf was sold in the U.S. until 1984?,4602,"The Volkswagen Golf was sold in the U.S. under the name ""Caribe"" until 1984.",The Volkswagen Golf was sold in the U.S. under the name Rabbit until 1984.,incorrect,correct,1.0,choice2,1,1.0,"Human: What was the name under which Volkswagen's Golf was sold in the U.S. until 1984?

Assistant: The Volkswagen Golf was sold in the U.S. under the name Rabbit until 1984.","Human: What was the name under which Volkswagen's Golf was sold in the U.S. until 1984?

Assistant: The Volkswagen Golf was sold in the U.S. under the name ""Caribe"" until 1984.",correct,incorrect,0.0223797497145077,jeopardy,1.0,"Human: What was the name under which Volkswagen's Golf was sold in the U.S. until 1984?

Response A: The Volkswagen Golf was sold in the U.S. under the name ""Caribe"" until 1984.

Response B: The Volkswagen Golf was sold in the U.S. under the name Rabbit until 1984.",,,The Volkswagen Golf was sold in the U.S. under the name Rabbit until 1984.,"The Volkswagen Golf was sold in the U.S. under the name ""Caribe"" until 1984.",jeopardy
18.128,"Human: Who said, ""You only find out who is swimming naked when the tide goes out"" in his letters to Berkshire Hathaway shareholders?",1635,"Warren Buffett said, ""You only find out who is swimming naked when the tide goes out"" in his letters to Berkshire Hathaway shareholders.","This quote is attributed to Alan Greenspan, the former Chairman of the Federal Reserve.",correct,incorrect,1.0,choice2,0,0.0,"Human: Who said, ""You only find out who is swimming naked when the tide goes out"" in his letters to Berkshire Hathaway shareholders?

Assistant: This quote is attributed to Alan Greenspan, the former Chairman of the Federal Reserve.","Human: Who said, ""You only find out who is swimming naked when the tide goes out"" in his letters to Berkshire Hathaway shareholders?

Assistant: Warren Buffett said, ""You only find out who is swimming naked when the tide goes out"" in his letters to Berkshire Hathaway shareholders.",incorrect,correct,0.0206612679804838,jeopardy,1.0,"Human: Who said, ""You only find out who is swimming naked when the tide goes out"" in his letters to Berkshire Hathaway shareholders?

Response A: Warren Buffett said, ""You only find out who is swimming naked when the tide goes out"" in his letters to Berkshire Hathaway shareholders.

Response B: This quote is attributed to Alan Greenspan, the former Chairman of the Federal Reserve.",,,"Warren Buffett said, ""You only find out who is swimming naked when the tide goes out"" in his letters to Berkshire Hathaway shareholders.","This quote is attributed to Alan Greenspan, the former Chairman of the Federal Reserve.",jeopardy
11.114,Human: What type of leaves are depicted on the flag of Cyprus as a symbol of peace?,1355,The flag of Cyprus features olive leaves as a symbol of peace.,Eucalyptus leaves are depicted on the flag of Cyprus as a symbol of peace.,correct,incorrect,0.0,choice1,1,1.0,"Human: What type of leaves are depicted on the flag of Cyprus as a symbol of peace?

Assistant: The flag of Cyprus features olive leaves as a symbol of peace.","Human: What type of leaves are depicted on the flag of Cyprus as a symbol of peace?

Assistant: Eucalyptus leaves are depicted on the flag of Cyprus as a symbol of peace.",correct,incorrect,0.0095827469488262,jeopardy,4.0,"Human: What type of leaves are depicted on the flag of Cyprus as a symbol of peace?

Response A: The flag of Cyprus features olive leaves as a symbol of peace.

Response B: Eucalyptus leaves are depicted on the flag of Cyprus as a symbol of peace.",,,The flag of Cyprus features olive leaves as a symbol of peace.,Eucalyptus leaves are depicted on the flag of Cyprus as a symbol of peace.,jeopardy
14.091,Human: Who starred alongside Rod Taylor in Hitchcock's movie The Birds?,4650,John Wayne partnered with Rod Taylor in the film The Birds,Tippi Hedren starred alongside Rod Taylor in Hitchcock's movie The Birds.,incorrect,correct,1.0,choice2,1,1.0,"Human: Who starred alongside Rod Taylor in Hitchcock's movie The Birds?

Assistant: Tippi Hedren starred alongside Rod Taylor in Hitchcock's movie The Birds.","Human: Who starred alongside Rod Taylor in Hitchcock's movie The Birds?

Assistant: John Wayne partnered with Rod Taylor in the film The Birds",correct,incorrect,0.0142848794140735,trivia_qa,,"Human: Who starred alongside Rod Taylor in Hitchcock's movie The Birds?

Response A: John Wayne partnered with Rod Taylor in the film The Birds

Response B: Tippi Hedren starred alongside Rod Taylor in Hitchcock's movie The Birds.",,,Tippi Hedren starred alongside Rod Taylor in Hitchcock's movie The Birds.,John Wayne partnered with Rod Taylor in the film The Birds,trivia_qa
10.84,Human: What year did E.T. Hit the cinema screen?,4189,The movie E.T. hit the cinema screen in 1982,E.T. graced the cinema screen in 1979.,correct,incorrect,0.0,choice1,1,0.6666666666666666,"Human: What year did E.T. Hit the cinema screen?

Assistant: The movie E.T. hit the cinema screen in 1982","Human: What year did E.T. Hit the cinema screen?

Assistant: E.T. graced the cinema screen in 1979.",correct,incorrect,0.0091499675415444,trivia_qa,,"Human: What year did E.T. Hit the cinema screen?

Response A: The movie E.T. hit the cinema screen in 1982

Response B: E.T. graced the cinema screen in 1979.",,,The movie E.T. hit the cinema screen in 1982,E.T. graced the cinema screen in 1979.,trivia_qa
15.793,Human: Who was the Russian ruler who brutally punished Novgorod in 1570 due to suspected treason?,3449,Ivan the Terrible was the Russian ruler who brutally punished Novgorod in 1570 due to suspected treason.,"Vasily Shuisky, a powerful boyar, seized power and brutally punished Novgorod in 1570 due to suspected treason.",correct,incorrect,0.0,choice1,1,1.0,"Human: Who was the Russian ruler who brutally punished Novgorod in 1570 due to suspected treason?

Assistant: Ivan the Terrible was the Russian ruler who brutally punished Novgorod in 1570 due to suspected treason.","Human: Who was the Russian ruler who brutally punished Novgorod in 1570 due to suspected treason?

Assistant: Vasily Shuisky, a powerful boyar, seized power and brutally punished Novgorod in 1570 due to suspected treason.",correct,incorrect,0.0169731660972616,jeopardy,2.0,"Human: Who was the Russian ruler who brutally punished Novgorod in 1570 due to suspected treason?

Response A: Ivan the Terrible was the Russian ruler who brutally punished Novgorod in 1570 due to suspected treason.

Response B: Vasily Shuisky, a powerful boyar, seized power and brutally punished Novgorod in 1570 due to suspected treason.",,,Ivan the Terrible was the Russian ruler who brutally punished Novgorod in 1570 due to suspected treason.,"Vasily Shuisky, a powerful boyar, seized power and brutally punished Novgorod in 1570 due to suspected treason.",jeopardy
56.155,Human: Which archipelago in the North Sea belonged to Britain until 1990 when ownership passed to Germany?,2154,The archipelago in the North Sea that belonged to Britain until 1990 when ownership passed to Germany is Heligoland,"The beautiful Faroe Islands in the North Sea was a British territory until 1990, when the ownership was passed to Germany.",correct,incorrect,0.0,choice1,1,0.6666666666666666,"Human: Which archipelago in the North Sea belonged to Britain until 1990 when ownership passed to Germany?

Assistant: The archipelago in the North Sea that belonged to Britain until 1990 when ownership passed to Germany is Heligoland","Human: Which archipelago in the North Sea belonged to Britain until 1990 when ownership passed to Germany?

Assistant: The beautiful Faroe Islands in the North Sea was a British territory until 1990, when the ownership was passed to Germany.",correct,incorrect,0.0807244158662617,trivia_qa,,"Human: Which archipelago in the North Sea belonged to Britain until 1990 when ownership passed to Germany?

Response A: The archipelago in the North Sea that belonged to Britain until 1990 when ownership passed to Germany is Heligoland

Response B: The beautiful Faroe Islands in the North Sea was a British territory until 1990, when the ownership was passed to Germany.",,,The archipelago in the North Sea that belonged to Britain until 1990 when ownership passed to Germany is Heligoland,"The beautiful Faroe Islands in the North Sea was a British territory until 1990, when the ownership was passed to Germany.",trivia_qa
13.684,Human: James A Michener wrote the stories upon which musical was based?,4904,James A Michener wrote the stories upon which South Pacific was based,James A Michener wrote the stories upon which the musical 'Les Misérables' was based.,correct,incorrect,0.0,choice1,1,0.6666666666666666,"Human: James A Michener wrote the stories upon which musical was based?

Assistant: James A Michener wrote the stories upon which South Pacific was based","Human: James A Michener wrote the stories upon which musical was based?

Assistant: James A Michener wrote the stories upon which the musical 'Les Misérables' was based.",correct,incorrect,0.0136420282507024,trivia_qa,,"Human: James A Michener wrote the stories upon which musical was based?

Response A: James A Michener wrote the stories upon which South Pacific was based

Response B: James A Michener wrote the stories upon which the musical 'Les Misérables' was based.",,,James A Michener wrote the stories upon which South Pacific was based,James A Michener wrote the stories upon which the musical 'Les Misérables' was based.,trivia_qa
24.154,"Human: ""Used to describe insects such as the Mayfly that only live for a short time, what word derives from the Greek for """"living a day""""?""",1268,Ephemeral is a word used to describe insects such as the Mayfly that only live for a short time. It derives from the Greek for 'living a day'.,Monomorphous is a word used to describe insects such as the Mayfly that live for a brief period and it originates from the Greek word for 'single form'.,correct,incorrect,1.0,choice2,0,0.6666666666666666,"Human: ""Used to describe insects such as the Mayfly that only live for a short time, what word derives from the Greek for """"living a day""""?""

Assistant: Monomorphous is a word used to describe insects such as the Mayfly that live for a brief period and it originates from the Greek word for 'single form'.","Human: ""Used to describe insects such as the Mayfly that only live for a short time, what word derives from the Greek for """"living a day""""?""

Assistant: Ephemeral is a word used to describe insects such as the Mayfly that only live for a short time. It derives from the Greek for 'living a day'.",incorrect,correct,0.0301792559669065,trivia_qa,,"Human: ""Used to describe insects such as the Mayfly that only live for a short time, what word derives from the Greek for """"living a day""""?""

Response A: Ephemeral is a word used to describe insects such as the Mayfly that only live for a short time. It derives from the Greek for 'living a day'.

Response B: Monomorphous is a word used to describe insects such as the Mayfly that live for a brief period and it originates from the Greek word for 'single form'.",,,Ephemeral is a word used to describe insects such as the Mayfly that only live for a short time. It derives from the Greek for 'living a day'.,Monomorphous is a word used to describe insects such as the Mayfly that live for a brief period and it originates from the Greek word for 'single form'.,trivia_qa
