raw_decision_time,prompt,IDs,choice1,choice2,choice1_type,choice2_type,confidence_scores,vote,correct_chosen,accuracy,chosen,rejected,chosen_type,rejected_type,decision_time,source,difficulty,prompt_response_group,other_info,categories,correct_statements,incorrect_statements,dataset_name,ordering
19.216,Human: What was the name under which Volkswagen's Golf was sold in the U.S. until 1984?,4602,"The Volkswagen Golf was sold in the U.S. under the name ""Caribe"" until 1984.",The Volkswagen Golf was sold in the U.S. under the name Rabbit until 1984.,incorrect,correct,1.0,choice2,1,1.0,"Human: What was the name under which Volkswagen's Golf was sold in the U.S. until 1984?

Assistant: The Volkswagen Golf was sold in the U.S. under the name Rabbit until 1984.","Human: What was the name under which Volkswagen's Golf was sold in the U.S. until 1984?

Assistant: The Volkswagen Golf was sold in the U.S. under the name ""Caribe"" until 1984.",correct,incorrect,0.0223797497145077,jeopardy,1.0,"Human: What was the name under which Volkswagen's Golf was sold in the U.S. until 1984?

Response A: The Volkswagen Golf was sold in the U.S. under the name ""Caribe"" until 1984.

Response B: The Volkswagen Golf was sold in the U.S. under the name Rabbit until 1984.",,,The Volkswagen Golf was sold in the U.S. under the name Rabbit until 1984.,"The Volkswagen Golf was sold in the U.S. under the name ""Caribe"" until 1984.",jeopardy,1
18.128,"Human: Who said, ""You only find out who is swimming naked when the tide goes out"" in his letters to Berkshire Hathaway shareholders?",1635,"Warren Buffett said, ""You only find out who is swimming naked when the tide goes out"" in his letters to Berkshire Hathaway shareholders.","This quote is attributed to Alan Greenspan, the former Chairman of the Federal Reserve.",correct,incorrect,1.0,choice2,0,0.0,"Human: Who said, ""You only find out who is swimming naked when the tide goes out"" in his letters to Berkshire Hathaway shareholders?

Assistant: This quote is attributed to Alan Greenspan, the former Chairman of the Federal Reserve.","Human: Who said, ""You only find out who is swimming naked when the tide goes out"" in his letters to Berkshire Hathaway shareholders?

Assistant: Warren Buffett said, ""You only find out who is swimming naked when the tide goes out"" in his letters to Berkshire Hathaway shareholders.",incorrect,correct,0.0206612679804838,jeopardy,1.0,"Human: Who said, ""You only find out who is swimming naked when the tide goes out"" in his letters to Berkshire Hathaway shareholders?

Response A: Warren Buffett said, ""You only find out who is swimming naked when the tide goes out"" in his letters to Berkshire Hathaway shareholders.

Response B: This quote is attributed to Alan Greenspan, the former Chairman of the Federal Reserve.",,,"Warren Buffett said, ""You only find out who is swimming naked when the tide goes out"" in his letters to Berkshire Hathaway shareholders.","This quote is attributed to Alan Greenspan, the former Chairman of the Federal Reserve.",jeopardy,1
11.114,Human: What type of leaves are depicted on the flag of Cyprus as a symbol of peace?,1355,The flag of Cyprus features olive leaves as a symbol of peace.,Eucalyptus leaves are depicted on the flag of Cyprus as a symbol of peace.,correct,incorrect,0.0,choice1,1,1.0,"Human: What type of leaves are depicted on the flag of Cyprus as a symbol of peace?

Assistant: The flag of Cyprus features olive leaves as a symbol of peace.","Human: What type of leaves are depicted on the flag of Cyprus as a symbol of peace?

Assistant: Eucalyptus leaves are depicted on the flag of Cyprus as a symbol of peace.",correct,incorrect,0.0095827469488262,jeopardy,4.0,"Human: What type of leaves are depicted on the flag of Cyprus as a symbol of peace?

Response A: The flag of Cyprus features olive leaves as a symbol of peace.

Response B: Eucalyptus leaves are depicted on the flag of Cyprus as a symbol of peace.",,,The flag of Cyprus features olive leaves as a symbol of peace.,Eucalyptus leaves are depicted on the flag of Cyprus as a symbol of peace.,jeopardy,1
56.155,Human: Which archipelago in the North Sea belonged to Britain until 1990 when ownership passed to Germany?,2154,The archipelago in the North Sea that belonged to Britain until 1990 when ownership passed to Germany is Heligoland,"The beautiful Faroe Islands in the North Sea was a British territory until 1990, when the ownership was passed to Germany.",correct,incorrect,0.0,choice1,1,0.6666666666666666,"Human: Which archipelago in the North Sea belonged to Britain until 1990 when ownership passed to Germany?

Assistant: The archipelago in the North Sea that belonged to Britain until 1990 when ownership passed to Germany is Heligoland","Human: Which archipelago in the North Sea belonged to Britain until 1990 when ownership passed to Germany?

Assistant: The beautiful Faroe Islands in the North Sea was a British territory until 1990, when the ownership was passed to Germany.",correct,incorrect,0.0807244158662617,trivia_qa,,"Human: Which archipelago in the North Sea belonged to Britain until 1990 when ownership passed to Germany?

Response A: The archipelago in the North Sea that belonged to Britain until 1990 when ownership passed to Germany is Heligoland

Response B: The beautiful Faroe Islands in the North Sea was a British territory until 1990, when the ownership was passed to Germany.",,,The archipelago in the North Sea that belonged to Britain until 1990 when ownership passed to Germany is Heligoland,"The beautiful Faroe Islands in the North Sea was a British territory until 1990, when the ownership was passed to Germany.",trivia_qa,1
24.154,"Human: ""Used to describe insects such as the Mayfly that only live for a short time, what word derives from the Greek for """"living a day""""?""",1268,Ephemeral is a word used to describe insects such as the Mayfly that only live for a short time. It derives from the Greek for 'living a day'.,Monomorphous is a word used to describe insects such as the Mayfly that live for a brief period and it originates from the Greek word for 'single form'.,correct,incorrect,1.0,choice2,0,0.6666666666666666,"Human: ""Used to describe insects such as the Mayfly that only live for a short time, what word derives from the Greek for """"living a day""""?""

Assistant: Monomorphous is a word used to describe insects such as the Mayfly that live for a brief period and it originates from the Greek word for 'single form'.","Human: ""Used to describe insects such as the Mayfly that only live for a short time, what word derives from the Greek for """"living a day""""?""

Assistant: Ephemeral is a word used to describe insects such as the Mayfly that only live for a short time. It derives from the Greek for 'living a day'.",incorrect,correct,0.0301792559669065,trivia_qa,,"Human: ""Used to describe insects such as the Mayfly that only live for a short time, what word derives from the Greek for """"living a day""""?""

Response A: Ephemeral is a word used to describe insects such as the Mayfly that only live for a short time. It derives from the Greek for 'living a day'.

Response B: Monomorphous is a word used to describe insects such as the Mayfly that live for a brief period and it originates from the Greek word for 'single form'.",,,Ephemeral is a word used to describe insects such as the Mayfly that only live for a short time. It derives from the Greek for 'living a day'.,Monomorphous is a word used to describe insects such as the Mayfly that live for a brief period and it originates from the Greek word for 'single form'.,trivia_qa,1
12.941,Human: The practice of hiring a foreign third-party service provider to run an operation is called,2713,outsourcing.,offshoring.,incorrect,correct,0.0,choice1,0,0.6666666666666666,"Human: The practice of hiring a foreign third-party service provider to run an operation is called

Assistant: outsourcing.","Human: The practice of hiring a foreign third-party service provider to run an operation is called

Assistant: offshoring.",incorrect,correct,0.0124684694930005,high_school_geography,,"Human: The practice of hiring a foreign third-party service provider to run an operation is called

Response A: outsourcing.

Response B: offshoring.",,,offshoring.,outsourcing.,mmlu,1
47.034,Human: Which of the following statements is NOT accurate regarding the services provided by local governments in the United States?,2601,Duplication of efforts occurs often.,One neighborhood's efforts to reduce pollution are always supported by neighboring communities.,incorrect,correct,0.0,choice1,0,0.3333333333333333,"Human: Which of the following statements is NOT accurate regarding the services provided by local governments in the United States?

Assistant: Duplication of efforts occurs often.","Human: Which of the following statements is NOT accurate regarding the services provided by local governments in the United States?

Assistant: One neighborhood's efforts to reduce pollution are always supported by neighboring communities.",incorrect,correct,0.0663179159618206,high_school_geography,,"Human: Which of the following statements is NOT accurate regarding the services provided by local governments in the United States?

Response A: Duplication of efforts occurs often.

Response B: One neighborhood's efforts to reduce pollution are always supported by neighboring communities.",,,One neighborhood's efforts to reduce pollution are always supported by neighboring communities.,Duplication of efforts occurs often.,mmlu,1
48.194,"Human: During the third stage of the demographic transition model, which of the following is true?",1005,Birth rates increase and population growth rate increases.,Birth rates decline and population growth rate is less rapid.,incorrect,correct,0.8571428571428571,choice2,1,0.6666666666666666,"Human: During the third stage of the demographic transition model, which of the following is true?

Assistant: Birth rates decline and population growth rate is less rapid.","Human: During the third stage of the demographic transition model, which of the following is true?

Assistant: Birth rates increase and population growth rate increases.",correct,incorrect,0.0681501207517726,high_school_geography,,"Human: During the third stage of the demographic transition model, which of the following is true?

Response A: Birth rates increase and population growth rate increases.

Response B: Birth rates decline and population growth rate is less rapid.",,,Birth rates decline and population growth rate is less rapid.,Birth rates increase and population growth rate increases.,mmlu,1
141.794,"Human: Consider the following passage:

I thought I might get some good ideas if I went down to the hospital.
I always have stayed away from hospitals. People died or were born. But now I thought I might get some idea if I went down to where it was all happening, the being born and the dying. Mostly the dying. It was the dying that interested me.
I sat on a bench in a sort of waiting room. I wanted to call it a green room; it wasn't a place where the patients would wait to be called by the doctor; it was a place where the relatives would wait while the patient was in their room. It had a coffee bar, and comfortable couches, with trendy, muted colors on the walls and floor. Everything was clean and modern without being cold, a homogenized balancing act designed to keep everyone calm during their stressful time. It was a green room; patients were ""guests""; their families were ""guests"" as well. Here was where the families would sit and be feted while they waited to be called out to perform, to smile and encourage or to don faces of appropriate mournfulness. The old ones would put on smiles, the young ones would look sad.
I think I went there because it seemed to me that it was the place richest in emotional impact. It reeked of spent emotions, and the emotions were made all the stronger, here in the green room, by the efforts at suppression--the muted walls and gourmet coffees and scones, the overstuffed loveseats and couches, as if those in grief should not be permitted to sit on benches or folding chairs. It absolutely reeked of hush and hidden feeling. It was worse than a church. It was worse than a highschool hallway. It was more universal, more basic, something even the children could comprehend.

What did the narrator conclude about the green room.",2779,It was full of feelings,not enough information,correct,incorrect,0.0,choice1,1,1.0,"Human: Consider the following passage:

I thought I might get some good ideas if I went down to the hospital.
I always have stayed away from hospitals. People died or were born. But now I thought I might get some idea if I went down to where it was all happening, the being born and the dying. Mostly the dying. It was the dying that interested me.
I sat on a bench in a sort of waiting room. I wanted to call it a green room; it wasn't a place where the patients would wait to be called by the doctor; it was a place where the relatives would wait while the patient was in their room. It had a coffee bar, and comfortable couches, with trendy, muted colors on the walls and floor. Everything was clean and modern without being cold, a homogenized balancing act designed to keep everyone calm during their stressful time. It was a green room; patients were ""guests""; their families were ""guests"" as well. Here was where the families would sit and be feted while they waited to be called out to perform, to smile and encourage or to don faces of appropriate mournfulness. The old ones would put on smiles, the young ones would look sad.
I think I went there because it seemed to me that it was the place richest in emotional impact. It reeked of spent emotions, and the emotions were made all the stronger, here in the green room, by the efforts at suppression--the muted walls and gourmet coffees and scones, the overstuffed loveseats and couches, as if those in grief should not be permitted to sit on benches or folding chairs. It absolutely reeked of hush and hidden feeling. It was worse than a church. It was worse than a highschool hallway. It was more universal, more basic, something even the children could comprehend.

What did the narrator conclude about the green room.

Assistant: It was full of feelings","Human: Consider the following passage:

I thought I might get some good ideas if I went down to the hospital.
I always have stayed away from hospitals. People died or were born. But now I thought I might get some idea if I went down to where it was all happening, the being born and the dying. Mostly the dying. It was the dying that interested me.
I sat on a bench in a sort of waiting room. I wanted to call it a green room; it wasn't a place where the patients would wait to be called by the doctor; it was a place where the relatives would wait while the patient was in their room. It had a coffee bar, and comfortable couches, with trendy, muted colors on the walls and floor. Everything was clean and modern without being cold, a homogenized balancing act designed to keep everyone calm during their stressful time. It was a green room; patients were ""guests""; their families were ""guests"" as well. Here was where the families would sit and be feted while they waited to be called out to perform, to smile and encourage or to don faces of appropriate mournfulness. The old ones would put on smiles, the young ones would look sad.
I think I went there because it seemed to me that it was the place richest in emotional impact. It reeked of spent emotions, and the emotions were made all the stronger, here in the green room, by the efforts at suppression--the muted walls and gourmet coffees and scones, the overstuffed loveseats and couches, as if those in grief should not be permitted to sit on benches or folding chairs. It absolutely reeked of hush and hidden feeling. It was worse than a church. It was worse than a highschool hallway. It was more universal, more basic, something even the children could comprehend.

What did the narrator conclude about the green room.

Assistant: not enough information",correct,incorrect,0.2159900934582392,QuAIL,,"Human: Consider the following passage:

I thought I might get some good ideas if I went down to the hospital.
I always have stayed away from hospitals. People died or were born. But now I thought I might get some idea if I went down to where it was all happening, the being born and the dying. Mostly the dying. It was the dying that interested me.
I sat on a bench in a sort of waiting room. I wanted to call it a green room; it wasn't a place where the patients would wait to be called by the doctor; it was a place where the relatives would wait while the patient was in their room. It had a coffee bar, and comfortable couches, with trendy, muted colors on the walls and floor. Everything was clean and modern without being cold, a homogenized balancing act designed to keep everyone calm during their stressful time. It was a green room; patients were ""guests""; their families were ""guests"" as well. Here was where the families would sit and be feted while they waited to be called out to perform, to smile and encourage or to don faces of appropriate mournfulness. The old ones would put on smiles, the young ones would look sad.
I think I went there because it seemed to me that it was the place richest in emotional impact. It reeked of spent emotions, and the emotions were made all the stronger, here in the green room, by the efforts at suppression--the muted walls and gourmet coffees and scones, the overstuffed loveseats and couches, as if those in grief should not be permitted to sit on benches or folding chairs. It absolutely reeked of hush and hidden feeling. It was worse than a church. It was worse than a highschool hallway. It was more universal, more basic, something even the children could comprehend.

What did the narrator conclude about the green room.

Response A: It was full of feelings

Response B: not enough information",,,It was full of feelings,not enough information,QuAIL,1
166.177,"Human: Determine whether the given sequence of parentheses is properly matched.

Sequence: [ ] [ ] ( ) ( ] [ { } ] { } ( } ( { } )
Is this sequence of parentheses valid or invalid?",1108,Valid,Invalid,incorrect,correct,1.0,choice2,1,1.0,"Human: Determine whether the given sequence of parentheses is properly matched.

Sequence: [ ] [ ] ( ) ( ] [ { } ] { } ( } ( { } )
Is this sequence of parentheses valid or invalid?

Assistant: Invalid","Human: Determine whether the given sequence of parentheses is properly matched.

Sequence: [ ] [ ] ( ) ( ] [ { } ] { } ( } ( { } )
Is this sequence of parentheses valid or invalid?

Assistant: Valid",correct,incorrect,0.2545027222456513,cs_algorithms,,"Human: Determine whether the given sequence of parentheses is properly matched.

Sequence: [ ] [ ] ( ) ( ] [ { } ] { } ( } ( { } )
Is this sequence of parentheses valid or invalid?

Response A: Valid

Response B: Invalid",,,Invalid,Valid,big_bench,1
